signer,volume,volume_category
DCYmUR2t6ancb1Hdwv55M3jqn2ra3LaJLVHHJoPoE6bB,90,Other
DKXv9ugFsgZJFba2NMWXtCryKHnzNyKvzhChZPap7VVy,90,Other
DX6hsYBihdwutEmhyLnAyWXxqkKL9ZgRhKoiK8Ppx54H,90,Other
DmebvJDdavcHZhk4EMQfjLypzUhv5GSKXkwuC9pF9rzf,90,Other
DvpkV6txF81cjSndzNgUQkTGTjgvQ64EY8sj58vtt8qS,90,Other
EEBJsiC84Kzpu8JpFafxWfGdL3uYZ6ydaRbjXmeDHM3o,90,Other
EKsKKEF2xdL9Z4Fe6aoVtxME9jcoNHnX699sKJyUrNhj,90,Other
EVxBVUQyGR5VnvMfKK1YTzyWW2pKJ2xkaz1PgQ5ebLi6,90,Other
EdArBxnuLtrKneUMPMTGy9AQkmdTWWx8aJySDAVSqkqS,90,Other
EqsbRVBwApk8m8wQW7PaSF4JdgaGqgGfxDgfxjKTsJAU,90,Other
ErPDbBK191AoRrJY4X2a3af5Gqf24jM8CMLor2KrddDb,90,Other
F2a7Qsx2B6cbxrhe25fycgXDADA6Sxzq3nZ6zAj5JGH2,90,Other
F2fiRCfmg9umPAD7bT4WA8ug7YmZJbW6tXP31xsv2HyX,90,Other
F323TVCdjQNRtB6CFcNmJbEka46Y7j4RfipbGjZYRoA3,90,Other
F64p8mJryD8cqocW2QBQUqc92FdMAeRcbHnyXoWrqtTJ,90,Other
FFMWyBtHCNHg87kRHfjVncDfhihNKRgde749rK8aF85T,90,Other
FGnyec7YDUw6wd9FJvXSKrD9do2nmG2UQuFE9yzQtuPc,90,Other
FLFQC5mHatCi2U82FJzxqpxdxuyA2CdETZ7QiB7ZYyqL,90,Other
FPo9Ns8G6ERW5WoLYD2c6KAeFgWz4GoVYg1UV9ddP5AG,90,Other
FdL1d93xKNV7gkw777666kL5nFThNHRfTWM1zggRA8Lg,90,Other
FokJs9VG9YpLPiQSH2EnERzJMmrN72DHy9SZ2HtbLDVz,90,Other
FotYSNYZF1iHuYUpmMjopjBhMHuMCchKpLj81GAqth6P,90,Other
Fr6E7DTaT2rSf3Efc1rk4MYYVXLSz8ajgKmeawmobiB1,90,Other
FtnEFz6NQ7MC25JXMkzeQNmYGhzaL2vA9w4UFmFKDQR3,90,Other
FygUAQk98ihUtQsi2VsSnVVeqVeGsAWjQLTAikCWczBv,90,Other
G86h5X8YKQpLSMV2ZuuUMYHWMPqfAWtcmBhpRxrpikTA,90,Other
G9TdpgZGRjazt4C93kicviugJyuM5Rr26KowxdjeETAw,90,Other
GGDjRdp3Tcb2ZvMGdtG9iZNcBRBvZ4SKRryXd79D7qbA,90,Other
GSqCvMWqJCayRqwFUSLZGnWh7uGkfTrZkY2uo3WscMrw,90,Other
GWJ5ZB9Mu8CPV3TX6MUdVC6toFDxfBpU7NwdKnJEoZi4,90,Other
GWVWXjVoHMvxa6UdTHC4DaqhALKRefdK3o1cHfXP2suC,90,Other
GiitqX7CyxEnxcGH4gVQJmN2BcVJofyVjF1NvcDEBrDi,90,Other
GnaaRhDQDxr6Xm17Dog689WQ3L5UAVytJzcXCLWnhacb,90,Other
GwW74WEx9eJaybAmVhswx7EK37S9suUH1LaLWAMQTgDp,90,Other
H3jWeXF1QXH2ybWZHyUHRKKDfEWFio8b57rGNtY3h8dW,90,Other
H4bVQVThZ5AtRhKv7rZY8XhxWf7sPg8hDPaAbvmkBxsn,90,Other
H6HE3TXgK4E8jDRiGBV5Cg4mn1rs2HbzpwgL8wHkvxct,90,Other
HJ2ZjjomV2Emskq5CsigTwVjqVKaRBuC37tBxt5LGaLw,90,Other
HN65tSPgokwsJRkqdMe4vzHfHyWbihzMe9u1j1PwKMEp,90,Other
HoeNHh1wYNDsGPTurca2SJvrNZe73xSStE12cs2qxF4y,90,Other
HunQYyEC5gC43NMj9hG1fPqPYLawqk3kYWLuAopxm8tK,90,Other
SYgDDKQM1ZQ4KPkZBpAzoJJSYZEQQHGfVwNeDWkSvvK,90,Other
Y6RYFVm4w2bvgoWFBvqXPT4esJnp8AsuF2manKsFkk8,90,Other
cUZcUr2WAH2qmErgkQkTr6oahncB3UKCNw9fUbUbxVU,90,Other
dGop8LttUJ2Q6QkvErfgAg4ihpk39X2x8Dwe9EwMrJ8,90,Other
24PuRyee3d1hF2aX4eVTPTR1usEhV7tJ1iWNKTrPUGqH,89,Other
2NcyZfnC4oUxwCHYy5PnSZtac3nsneyD3xHcpW1zVHDQ,89,Other
2PiVkVGmJqEr1rpdzXCZPKAmqHuASp3WAQK1KDjQjCVC,89,Other
2cJgpgWKxWrNbACEYJBUVgBKtPMtLvZ9SM1Z8URgGGaK,89,Other
2gdJSVDQPPChoHfgbNTSyVqTkh5fAWGq4aRp3b2fu22e,89,Other
2hfCSB3WsTyvAQudB2U87PuhdKARC4xAFNNbGQkPXj6f,89,Other
32iJ38gyKHmKEdB9cZ71spxU5FmXkxp9CQqc7j91Ehv2,89,Other
