signer,volume,swaps,transaction_count,volume_category
yoinkeCWvHf8oG6iMNX7sjG2fVw99Y8d3ReYUnhzFHA,1490096507137.0183,655972,656477,>$10M
kpqUj83k4ieDRZjh7HMqrjkb5tkn84xy642t4Zm1WKe,12854580095.0458,1980349,73798161,>$10M
BBqy6gAVMzRH1S7y9XvBNaS3axRovqe2VgNrgwYc3mYM,7938928887.199221,729972,63983733,>$10M
HCMRVfbhtQMRXGS6w4K5a57mwugy5m72VxGFkf3K4nt7,7191086601.731239,626809,7168608,>$10M
DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb,7160542523.09012,22223881,26689327,>$10M
7grEJpUaWyNnXj4ZZherbv59Zc94SgD6T2b6S8YtXALB,5632782177.571612,614467,18026240,>$10M
pUEsyy8qH5jH6kYJzsWkM61wSkE8QpcRLs9fhbsMHMK,5469828739.564127,1127631,58710993,>$10M
3ACp4T3ptTdayzWryEhT65NKZSKLjwXviBjWEy54aFdW,5291569559.085118,1547373,13683978,>$10M
DCAKuApAuZtVNYLk3KTAVW9GLWVvPbnb5CxxRRmVgcTr,4959744499.011521,10591737,12482612,>$10M
DCAK36VfExkPdAkYUQg6ewgxyinvcEyPLyHjRbmveKFw,4788222908.228654,9716784,11422738,>$10M
2bhkQ6uVn32ddiG4Fe3DVbLsrExdb3ubaY6i1G4szEmq,3406611678.5975623,1273763,7801683,>$10M
6jvYtr9G5WQnKs3cFsFtKmEfkbEnUXFhBKsmZad26QPV,3198838415.2787113,1585571,1885019,>$10M
6kntKawNmZNKZqUHvRVGKMwp8LQU5upyhht7w1PL7dde,2916193419.676926,932429,19413315,>$10M
Hb3vcrr6kJgXAm8xmhAPdTMaigYgDH7zXBsNm8vff9fS,2806327248.160901,838282,44911338,>$10M
EjwYJMj7wyP9w29WttYBSfh4dfFSuCFiSpAmjhiU72yp,2772743769.6456356,2283285,10596155,>$10M
DQutzRvfNpBsM6xvmFfUh4aMFxnAkdTZB5M5xYa97syi,2728395934.4625497,697560,1398235,>$10M
H3SsPcVhZWhRyupU87Hn95WrJaYdz4rWNpdaiS4BSwmm,2634768661.8061666,933763,22051376,>$10M
EccxYg7rViwYfn9EMoNu7sUaV82QGyFt6ewiQaH1GYjv,2475799559.3308897,5610562,37289882,>$10M
moRseLnzCKEcy9nT3ktG7eMwW9qNcbvKuC44WfvCvXq,2467162652.562887,583991,41925465,>$10M
71WDyyCsZwyEYDV91Qrb212rdg6woCHYQhFnmZUBxiJ6,2447929807.0094247,4964131,35209125,>$10M
SHk1RAY6oUH93vNS9EQuMJQ8iCRfXpqXKGVLJjeebYw,2411506682.82111,506618,24853624,>$10M
FukudCCa2hKbQxFAU3ZuwY3fAiNaLpkTWTBepGdY9hhz,2203752817.8489904,1376293,2014749,>$10M
