signer,volume,swaps,volume_category
8buXoQeW6hp64a3Evx7RYC6wwviWQucrcVoVSCM6SHUA,1.17951550035,1,Other
5pdCXx1UrtVo65PnZjC2knqbo55dUvbLSikBc1bt7Xyy,1.1795144858893782,2,Other
5AvQxfqZBf73EXx1TrvUp7woejoDCbXYhdEzvzQd5wV3,1.17951210106,1,Other
DHpyez1CVnFEHxLrchUn8fze81BLx5bjWBoN4cKs4Zh4,1.17951028668,1,Other
13pfDnt1Rfz8TnqAVKRkoWvGYnPYEkJDewvNTXJm8mw2,1.1795101697100001,1,Other
HxDW88s9gVdnfSzi9daUj1JmzWgCr5E44BzaqEhSyntx,1.17950777412,1,Other
6K318GuFXnSVSZMaNeELWsVhsT8JwgZWqvX2NjKvKWtU,1.179506,13,Other
BgvQXkJ2bduKHCPeieqK44ZsEXVjiQQVMuNEwFuwC1Lo,1.1795045982199999,2,Other
GVP4UmLTTtKNBNo7s8Uzg6W79V383Gz7rTZMazPmW3Zk,1.17949903351,6,Other
8YhMcPWM1LmYaxyYQ5xMwJV1uBE3bSueiGGhnaZEtEo9,1.17949519424,2,Other
EdMWmiQbMRLpxxCP1bKLzcvHyD6JB4myd16Gm84EhTsR,1.1794949602800002,1,Other
9rS9dGcGYakSHC3pMaiHNkAWUofjT5gbXnAwgTdtmHRz,1.179489588529,1,Other
AnHHV39xzksYQca6WT1NKsLqYtuLs8BZnU9MLQWnMKX3,1.1794878784,1,Other
ATFvPmtvhyqjSakc9GjubG2yFEJRdz35jrjbkjXePBDj,1.17948636848,2,Other
3EtiyKDSH35naJcXLR2xMAHsuyRFcb8AjVNZKEaDjkuX,1.1794615487039999,1,Other
3LMAE1S1dnRdmX2Vqs2ps52DkYToZPGKw6St5YDogDFE,1.1794600125,1,Other
EmrUiow5mbcweR4WReedRwHZzSPnhaYWpPdc6wQBCUUd,1.1794596044,1,Other
6sNBgW4iR1LLPTttogzLhMfw8oSgB1ary1niCyKn57k5,1.17945710943,2,Other
8AAyoA4XDkXbbv6xmn13FmAFuwPw6ZFb4NA86cTETbyA,1.17944935593,61,Other
BN6bFjF5E6pqtkzNitT61EozRFXoSGMvLWcKashvWN6N,1.1794472895399999,1,Other
4xg7Kzyv1BhMHYdfQD9h3ysmjvtqyA6BWQS3PfGvnvmY,1.1794469633,1,Other
8qovNqDtEZ6mtQY6vZ7w2G3pSFReXUJL1gfaD3b1v1tj,1.17944634327,2,Other
zc5HiCzbNHh8UgkWt9R8BKDHGTvJkzJKQcHfmf6HEeQ,1.17944591856,4,Other
AVGyDwmfSL5pQEHJbsXdezwR3aKPFETMzCJjj3JwizXg,1.17944430744,1,Other
8GShYu29t5Uum5o8L7ayznmj7sXkh7ShpdGguW6nNkCa,1.1794440000000002,4,Other
B6uUa1E3yJ8ZhwSdV9GNq6FneFgQAcZGgvCyxPtMpj4C,1.1794421212229997,6,Other
2pBz83jygYAd3gRc81aWD9gWW1EPNvhUhj2VRN62QfKB,1.17944,2,Other
25W3NdwprnQHezchtMToDKcMB9Jhe227Hnxhi48BwXeo,1.17943879426,3,Other
8u4kGxoMeiFbpQSnu3X6YL51a2u9jVLm9YjoSUsoz9ny,1.17943783936,1,Other
7VfvDpvG4RFa5EEp9nSqoPWSmFSGJobzWas1abm6977j,1.17943556763,1,Other
FGZ2a2731XS3B3TnvBrCPswnUxRvbGKuxLcvDyieSmxA,1.1794351768,1,Other
7hoT11gsE1aPKepvEthAAewGfxe2s3betN65L1qKi7Wt,1.1794318813199998,1,Other
F2KhZHUZCManAXvxK2vnP3JKT8QD7FofYkMXeSMEeZB7,1.1794317501,5,Other
B74dq48kKRwKBBVbJYbpTQJj7wRsrwyAS2uLEX6WuPXx,1.17943121865,4,Other
2BTpogz3f9JAA28gBN2NnbaGB1u8wUksrFcpzLj8tiE4,1.179430652588,2,Other
849Nu54vAT3XoatNbghTYPhmPVKE883mJ4rTF9VjNBPf,1.17943,4,Other
FKHTG16ybx8TkqKRbop8zb3AktexyZaD9uv5vD3RJMmM,1.1794176747,1,Other
4GZGu9s68YLDjnNhmcgUijWrT3fqrRJFr95xnukt2rMD,1.1794167925699999,1,Other
98588mniK84oLSGKBBpRXTRdcasT5cYK52ivRxpdgKr6,1.17941515012,1,Other
4cziMTo7kHw1w4z33EFYJXpdaWQLn1PiSoYtcaC9ANUF,1.17941435825,2,Other
5yF66tbd3Qd1CVW58exCEi5jdDQMBJvbR5QttSVe2NsG,1.17940692972,2,Other
9DBcUtKeuhic4DN858qAuJ3fr8Fb99YyKkNQRNtrTkvx,1.179402,11,Other
J5z1JgrZLh4ZAUjLLc1w9ykRWLqScV6S4ArP45xLdwwQ,1.1793981516199998,2,Other
4fCamZvBirto5ktozFfseVaDSiRwJ7CUtvACR8mfQuLm,1.1793912170699998,1,Other
HHWKuXcEWjheHNeNQH8UL6u3CNSNKgLzaLwTjtjccmqC,1.17938358704,1,Other
J5FbCAUHFezir9aTbzhLHwa6BY2doZFk8T3sMCdkJAkH,1.1793825945240002,1,Other
HAg4F1vkbo8pr1WxVQL7km2wTzbfBak2ESdhCis7cwP6,1.17938254644,1,Other
HCHfeJFGk1fW1dybCXAwqVQe2VxNqG6nwu6VnkJ9oa5s,1.17938065887,1,Other
2zCn7t9RmNRScz4GH3mvwfyY4mE7RYQNFGGNAXGiepnQ,1.17937478285,1,Other
3aotAAn2GEfT9J6G1BCEjfEs7DW6KsNne3Q4mSurzGBU,1.17937387416,1,Other
KZx6f9SQySvqQAPTyxP8JMqcG9wbto6zcciZ2GH8HFh,1.17936657248,1,Other
