signer,volume,swaps,volume_category
3dWeT9tq8b7vrC2uGa8c2dPcuQhwYtbHBLFVGSQSMQb9,209.90561652684,12,Other
82rU9CPL7xK7tkTTyDBXndMJfcSP8SaK65nqbomXRWv4,209.90557083413805,95,Other
FFgWUcz9Qio9fKvQCPDADGnVxWCzQg5f657E3dnfggTs,209.905206104693,2,Other
AnjSferafDaz4S8rDHGuA1V8sXZcfzZu1JCpCL6wTfHa,209.90501289525,41,Other
HkxdiPfHAkaZBv6e2zqBaXqaf9sYCYSQyh4RuXcEKFF2,209.904928710328,2,Other
FQT36tmXwhQvimKzs8dBogSFuSnQk1s2kN4mnd3wdUrH,209.90480238604508,30,Other
9CJEuwwpRSXj54tGvN5r9RMoBM7A7P49iSRkGnbqPSTf,209.9044,1,Other
ZXwXDTK9zFBsRhe3L3SYy8PoosPMxVCe1HTUNc177ao,209.90435000000002,31,Other
4XXmXrTsrkTWdkfiJcr4uKasco55qTbdw76zqousMMsf,209.90433629722,6,Other
9bapPMDRq1ugNCqiMTY8cTbPkxsT9xAaxvrxL47RR9mk,209.903770866,3,Other
5tSstfUPGcHgUWFLxZeYV4SWY7UPcyRtvZ42GzzrsDcY,209.90283910598893,8,Other
BqMuCzk5Fbgmay8vpKBnd2M3STTVUuRVKKvB24efqv1M,209.90263396047,9,Other
3fMWjjNE7xMdrZvENjC9eqReoVZHWwGdvU5FDphBNJYN,209.90222,2,Other
6xymsUpn5bqTcYrmR89WPFDVt9r4rGEcpmvHHXd4oU1J,209.90207789662998,9,Other
4sANhSgb2ubZ8B2JWQg3VW2gVYvXQHZ4M7sJx4LexC4U,209.90200669265602,3,Other
BvHc2URxtEYhSHqB6xgqBYT5mSy9Sc7EFw31CTofgJ8H,209.902,6,Other
Fpe6wemkiLQyaSgoLM92TUJqHGsXrLv9By71BkW7amCK,209.90196849717802,2,Other
HaPx3JnkRRYfNK54xdUMCNmoCD2crWED6PeuBC4ZsRaH,209.90172027258802,12,Other
4C8E8jsvM4R8eJ2bNNX2aUngKFbhep8VLqgWR5t1kVqT,209.90161852,2,Other
59po2gpskyje2xxdtbWa2ZWdXNRBjqs5nYSCLQjsDoyi,209.90115266015002,4,Other
B7Q2sduSAvuDPW11vcQ7wWMRqEyNPxzkSq9a5vSqwHgD,209.9010578294,5,Other
31X89MV9cqu8HerFPDXTeqLQb9ETMp41xpGxuFkdAWY2,209.901055254649,3,Other
4EXZrbaYtL7JxggSvwZmwZar4ZT38SsdobSn78dKghmt,209.90105075271,6,Other
DGbAeQ8yqCgZSfSTT2WFrntMFsN7u5VuWwfgiFhvijAb,209.90097325760328,4,Other
48pX8p8tGVePhJNEut2aJQbpY16zWEUK2sPE7oNycuax,209.90082,31,Other
HhKCLCApGYi6KGrBNJ9nuLndCi9FKWHPFRaxAwp4JDtd,209.90050947497002,8,Other
8H4HzmuptCJsJEWmtgXGqXwTWkw43kNdPpoayGBiDEs9,209.89981927328998,12,Other
52De6U41tv25sTHLxxtJ1EPFGTyMNqkjWKMgnbMBZNou,209.89959844156397,2,Other
EbEHmnKYN4XXtDvkjwfJLPPpd1smXL1yvb5V4uawT1bu,209.89958848041138,39,Other
DepdBGZ3rsa3e15avTaHfUZBaPuskgzFLWjrFzA1zViL,209.89945940805504,8,Other
6Mrgjc7V7j8pP4dB2xKAqbMVeHp8C9jXJzSXP6jb2JoF,209.8991915787,1,Other
25eUkcBtcEs2cQuGUNq8hf5v4VE7Rh7VnaFJXiYQRZx9,209.89917888904,3,Other
APSLVmv6fFyPBBV3VQ4zD6jncv4rpxXDEu55mxa3T97v,209.89908023024935,5,Other
4SgpG4VyddGehUjTwRqBpe1dxzzJJoNRwqbM4M2jrhs4,209.898953347475,7,Other
4jRPqVdKACrmAyJ4xfe9xzU6LfHbu8X69wHyqk9S7xQY,209.89878000000002,1,Other
G6McTR3NVY6giaPtxhhCN8rov8EhsQaUxFauJBk9x2y2,209.89849139999998,3,Other
7yUMvKVD4meU4uhuT9qRurms9iVThrRCHnsMrQzizVPi,209.898333969636,1,Other
6Hqi63CAqkdkTvTHgwmsnT8agCXvWv4AvP9vuFyFenG,209.898219285,6,Other
J6JUNCCzQcFQhDzyaj9LpnoAkjTuTywBUr2LUWb69Koh,209.89820344679998,2,Other
FTZMx7fTWCr6Zgno8zHK64euRpxDcTjEsdkFYiSCUzLX,209.89800454780584,2,Other
FQXsw61rB7seQfsUBKD9q1umE1EFLYtqUqiGymT8oZyp,209.89795331002,2,Other
G1Zkoy2puFtVdJXedtjAh8J9dDWiEmfN4wmjVhhtHxNe,209.89793343910404,11,Other
2iqhEisY7wk4dfnfcihvj9m4BhC6CmU51v1rq7iW31T4,209.897886888438,2,Other
HPwnzT2tZhb59u4hV5mrH2U7MbmqQ6MYk2cM5FUraDzK,209.89763589267397,8,Other
bgrAfxgBLcXrgP7nossYqexZzkewgTWXamYtfqsNBXD,209.89706081068098,4,Other
Eo6d55Cgx5EJ9mMnKaKN9HJSyVVMNZdFSppnrCzNGw2X,209.89688060691998,7,Other
AyrSqSgXuLVg15cHPj5x8gA5fpibu89zpE2rujfy4wVa,209.8961604648,1,Other
EqCjzH4mzHApfSCidhUCLeC8ebKkoZ1ACgCeTLJTa13D,209.89604127205,30,Other
FhnQ3DH6rJ8aSWbij7XTFRXNTBRzfFXy8iENvPXiPQFz,209.89595811466,10,Other
D8FiNykhux5znP7HF86NpDBqoz7Cpa3nW5DYu6TJcUu8,209.89594454716,3,Other
FEQhaWRV1ia3dq9jMWnquZqJhYe8YF3kVUMDCrWHUh1m,209.8957295149,3,Other
DmGzyAPAUR9m57dsm4e78RBmjX4iwH5QDqKh9X9TsXQD,209.89569038138,2,Other
YrDi4uHC5sP9V5Gx8Ye9RBrV8CuSew8D4YkjYHMSZZM,209.89548150803256,2,Other
ABgn2w4yYYy9aHWyYD5pkMjHfKCmwuVUmuTasmorjGxY,209.8953131765,6,Other
eWpbCPnaVrKTaizUnUBEWmCzQZtcu9uiNrtgGm3V2J2,209.89523131884002,2,Other
FDQfSpu66QQQNpLhefhpv81P6vaejkVnzoSqPbjUC7Dp,209.894276220428,6,Other
2V3rgA4wU6mcwEEySzPiWhSX5iEHzmLGUdWf9ZmM1SBx,209.8942710672,2,Other
DXrxtxDuiS3rWFNTykLj6mbaDZsBFzSwsPWz4aN9JZjF,209.89421954999,21,Other
7cftcy2serUXWy2uoUNugsmFvgqENgWFASCE3BU58JWm,209.89418874720002,3,Other
4draxWnZtUBkfLGtM7iGs74kUL7KD5oSFLCevubPBGrV,209.89390149534694,36,Other
7F5mi4kLqzfiBsPhvRv3FcHVmu5QFGDr4ZdpmMEnxoi2,209.89356782112404,7,Other
FqeJNRMMx31fzfuDQpBNLELK6thQKZ58yxhVdimvfoj1,209.89343337628097,12,Other
25rPQW7TLtGdqYEnM5vEMG1FuzxmmQT5Ffp8fopDFArN,209.89341059448,3,Other
CSoDujTFz7ML7hLwuXCK19FBSjdc8i5kLvFQ72VpGoxU,209.89316684662998,226,Other
DKsUjiEnjdpE5oc3SGatbhCfjaHuUXdS7UkLhBDwcaYM,209.89276613825,15,Other
BWbfEVVBoEfKttvx8SGZpMq4kz6jf5NV3PNRYRCooQ4F,209.89199395174,5,Other
4qyct8wTVddSMRmNBnQ3RRpCNcPxJVy7YLeAEFwyiVmg,209.891941053248,2,Other
EZaSVr8eBKUKrjtEf8uJCN5qrw6wZ999sw9PVWzpCP4e,209.89176943054701,2,Other
323y2bm9LrVUjv7eFMcmgi3DyLDdZfdyWCdSbzx3bfow,209.89157454160681,9,Other
6jrRxpVZ8DUKvMdXvPCPKBHo1jcCo54scYA3zsU3aftN,209.8915440832,6,Other
4BfVphK6wbcB5kNsey2DxqoGLdFPH5bjCMBtNFrqMQPg,209.89153693977,7,Other
Cw3pQQsBxVSvSibdxDYrEiJ7nigd633qpbExu5wQadxK,209.89143,1,Other
94SUrVGacrAPjmmBL9scCzMyiAMhJZ28khZYXrEioVpv,209.89102093656004,1,Other
A9mUU2hRiHMEmcARmera7QcQfL1LTGMtCByiH8Fch1Ht,209.8907546192704,15,Other
BEGwH2ivcyaiFucL6kvURn6viATvNRATEbatQrfhfA8c,209.89056205030002,3,Other
4fAPrgUv9vU4CQkPgfGq9Ca6xq1mWqShwX2sQqVtWxcJ,209.89055,28,Other
