signer,volume,swaps,volume_category
6ns55PZMffxN2dFPfKgwmzbwkBTy9eF5sGCmLjc9uuiD,1153.3150365034735,2,$1000-$10K
9hwJcQnZ66CDjL9FntNtgmsvunr3PaRRYU8tP97sD63c,1153.313200645259,8,$1000-$10K
H86XS9ACiJwHDMyJqxX4UrNBKdeMCVU3jHwyXA2SB6zp,1153.31281056703,13,$1000-$10K
VLXyWxNWBYPmsDEeNemgLwJ2V95V3bjV1d9ykg7d7dS,1153.312170000449,12,$1000-$10K
EZ8w8K9t1TPWCgBPpZQgj4FaE9rNCBfCzBjo3FVfh9gi,1153.3117550774,26,$1000-$10K
ExfxX5ARGVWev1jPfsG4ZEfN6eaBzNSwRzc3EZpYP6Ej,1153.3115,59,$1000-$10K
71sEuPRfWSyrqmQNodVDQ83dEgCdKdY7R5Y83MPPDAqL,1153.3107696788506,30,$1000-$10K
AgvAH6LeWJAveewZSqGUmkrobBvhp9Hq57n4W6SiwC7X,1153.309615470982,8,$1000-$10K
CCtMJ3pNU2MstehoPf5qkLMwqf8Jzuhoc7bDGzjFXRbk,1153.3094420149287,20,$1000-$10K
2x7KZKh21mHjjDpMLAH2ur1KspkiDGNqMoCAt5oXQCT2,1153.3079998521403,6,$1000-$10K
7oyAJXvdaWACs4tjmCy9LbEviR2XUcmDeDx2R7oKfwUp,1153.3075834359,2,$1000-$10K
5BtNNtb8VBsq2koWsyqE2Pcu7FZXiGbW6XVqJopHmjsh,1153.307084200759,14,$1000-$10K
8X2zrMsKEFPyzPnG2oNkLZm3ERHBe2ZYUmZ64xMf8rSb,1153.3062306013599,27,$1000-$10K
rvFBZKVZzg3hnm8p9xfA9YdPYvzyQzAd13pR8BzvpAk,1153.305975428379,4,$1000-$10K
6yeGYxGTqp3PYBVssg5ijmxkQ9n5mnLqsrQF84Ht4gik,1153.3045494262362,26,$1000-$10K
CMFeTjkLZEhmqvGRnRAnntPCeTZF1zMkGafXhkUBjDH5,1153.299790475532,33,$1000-$10K
BF2dhNGTNcnHQUavLEBg7vqactZYpUurCsbZPpPJe8La,1153.29977309639,11,$1000-$10K
BB3Z6mP7HYWytge8B2BpeB8tec7FTQmWmYAkiSXeDHiY,1153.2992767676988,25,$1000-$10K
G6ZitRPXQgnPbTsgUPcZCp5Qw1XLn3cc66DLeF9kL4wW,1153.2992636044135,116,$1000-$10K
HCwKt2Bh7aH1WR6YKHmKvkWQ9Ca6oUvwveegwRXMsthq,1153.298208587383,14,$1000-$10K
5Hkznx53Q2AT7xd5Cs3fNQdxYoRt1YWmo4ZgbfqxGGhH,1153.2970294857216,7,$1000-$10K
29nor9KYTzBpTXsvTiQ7rSskf1nfxiBKcdj1L8Aeb7Sx,1153.2953361054272,85,$1000-$10K
5fJvFaBVgPZ2thBBCcXwjMXNjKc46sctdRLPQvjGvj5Y,1153.2932966447013,38,$1000-$10K
HfYx5bbBGLG2wyoPMdBzDKFw2KAzDPWRkjk9ahcyqBoj,1153.2924339843798,7,$1000-$10K
HUv1afMjjn6XQMzqrZgg47HFhHGKUaRTH58VQVkUVsk3,1153.292071268946,28,$1000-$10K
8q3S1tPmM9ipZH1FaQMMV9kt7FCrwsCVYjXuYgjRBuS9,1153.291427692628,2,$1000-$10K
A4wsKdD3W9NNvXrgvQTGbtvzwtAfyNUpgDzfzvx2zhBx,1153.290383235418,2,$1000-$10K
6WkMWTi8iKf6udzjLR6gaiVvfQdFaCf9dzVxv2hrH7gt,1153.28985605085,1,$1000-$10K
2i9PDLboDMeKshW7bFjvg9VAHrf5KxgiuJvobvSpB57i,1153.2878862457,3,$1000-$10K
wc5ogy55WAoXe1RMtQx6SWKvY8421A5gbBX9vxcfBD7,1153.287812118009,6,$1000-$10K
8DaTPHkL3u7Et9WLs2nwhBRXSVx386mcg39uX7FCRg9Y,1153.2860596522899,7,$1000-$10K
4NssxKkJ7UN1QmGHmRtB82BVXDcVoNKZ5rQvneRkrTPe,1153.28534160125,10,$1000-$10K
AoELE8KEcvLJddXzCkquxLFvr7wDUKAc8MXHRWKSVHV6,1153.282858858952,4,$1000-$10K
GaYhcEagVvdNg4xyca73offQoK9HojmXkwwAUsiSQ4mo,1153.280440958547,2,$1000-$10K
4jEg3XTtzfBSa3ffuwWpGh1YLFAHh9MT4ymCMHEXa5kV,1153.28,2,$1000-$10K
GeMJSXv9FBTCiteYH2DWEBKTQWUomes7gUWKXQ7wt2CX,1153.28,1,$1000-$10K
