signer,volume,swaps,volume_category
Go11h2xQf4JkpfViRkn9cDeen5CK9kvfif2DhXCXnCDa,728.693887408924,4,Other
EBcVT8NLKt24k7xiMND9oje5XSCJGJUTeCXuh5f3bfUJ,728.6924122042021,17,Other
CqCje5FauZ4NoCANcH8Ra5qUC7Ksud5m4eMqmJij3eZs,728.6907000000001,7,Other
6YbAKjhcBT7SbH5GSTyMhEzr7VeypBJ7AvnFC4P1UBZG,728.6897811419659,6,Other
5WceHunDkS5VSc5MXZteHM89X1RTpkwiibBwFtJ84gkw,728.6897,1,Other
H3WCRBnuLzHa2RQ9DNpVUTvXg4qwco8ZkFXXtWAjB1k8,728.6896445412326,4,Other
AEahvdkjQ2XZEzBdkdYPcDr5nifZgATJsDLAA4An2p6i,728.687533395424,5,Other
sSzPMeLWYY4MNGFPGoSdmX78eW8NM5SrckGCuPzqhiV,728.6874568012713,18,Other
51BQfzFcitbXvjyyfsbyQjK9bvTVQNyPgYGX9dYx836e,728.686409751164,6,Other
HqCfscrXvcJRoQEjxVuSoTxahKu6uopUut1ePoC9bvab,728.6857981064001,1,Other
3GR9zcNFi6qQQJbqmHixEpNSmCThPAh8umJvdUfzbCrT,728.6857315331371,60,Other
Y7nJopPLCF8kYwbmFuPe4GwfAeswPdkUAA8ZrjR1gAo,728.6854593200891,4,Other
9CHgQsuDuXf3za3AP6Rrxovh5ejgzLDqyrpbjh2pRU1y,728.685,2,Other
KV7fFQZSTYNXsLkeQZbfx2fnUjsuX4VXvUY5XirpvR8,728.6847324852499,4,Other
9HdMSuAuAUJ27GgXxviHWxEw6WBh4Nz3cE3nS2PAVwPh,728.6842704550188,100,Other
Ab45sbMZTtgNgM7MPCxXJhDh5KrT7QCx5VhuqbaNX1eN,728.6834291143069,1,Other
4SrsLvAC7R2qpbaipHwfMKUuwEboTq8hFqY5qy2gGbjt,728.6826484578402,537,Other
HSvUFohaoEBkAdG5D5kSmjAGSkdHTFP1GzmxQiE2qMWK,728.6820333167959,12,Other
66GDgNjwfbrGr2BBgsWU7nNvTfYbRUah8XbNsRvpSsHS,728.6809147116446,26,Other
C3kTGBnkfjnepeMAWk6uxZnnM8NfoKsDEHAk7xwSHmwA,728.6800095895369,9,Other
4DZJrGrLSqmgB3gYtdBk6Kg6zyh4XmcMZYNxJHwDWuED,728.677784887925,13,Other
HQi3z7D1K7G2WjS5tWVPK9sDmVVmjckdhWeEMA34dkN,728.6775286257359,57,Other
EyJfUB4PMbff7FcNWXsYkHURN3mhnTNh8jFo9ezAur3T,728.6754243193799,552,Other
DQDJ9pXv3orFhekcGSqaJZziuEL9X8J5bKC19k5debii,728.6730644582001,68,Other
DV4S1YKuA4di1hENncmXXkZQtx98zS2n7hQFZWgynsSq,728.67289589328,2,Other
EkmUD8NGnq6TQ9Z4qUCVrkZNHtKtPh3QsvoXSeuKr2W,728.6728005388313,20,Other
Fs1jLdrFJfV3o1j5zEjAF9cMumR8qeGugMiWuU1k4gyQ,728.6723860891251,4,Other
C1fZX5SswBFoSgFEnvzBreiQgJ3CWDZPZUwYcNt93dSe,728.6716079366399,9,Other
fJZFSXXSEs6nDroH3MjkddXBrF4RddfavBDHRFGRqau,728.67148,22,Other
4YqEoB1v8f1RWzFuBF3JGM2t6s288H9TVRWeti23WMyn,728.6705076236174,200,Other
5i1R3W7nMSY6zY3LESbQ4Z4bayG29sjYk3ZiJzQ7S3x2,728.6700000000001,3,Other
HzMnigpmQeawwrt3qX6utExnPyK6HMLt13a12wRd5DvS,728.6691000000001,53,Other
2a4z6PS7S4AY7xW9tgeXZWJbkoPFtKesXz6t46yZYMYU,728.6690000000001,6,Other
51myWyQoj9NDd45zyT64whBPmi3PvVkbGHnKfvRgAqUW,728.66883895338,1,Other
7dA4kdk7QUTwmZF75xzUAKFRc8251ptYF1BM6FZF6ybs,728.6687129025299,4,Other
HabgzmkWNV7kYJkJEPeg33cFE1Ph13u1VhVqNhVmQgrP,728.665224805816,13,Other
BXGMYosmXSfMA3jwkdaH9cuuwbGMrTvmJo9ymZdFYEKw,728.6646639999999,1,Other
8kLvzQYxZWyauNLB6mhXnhm9FrCLgt2AYRKBdQS41n5x,728.6643594303199,13,Other
2dCva8F6bV2Go9JgPeMrus2uofi6pJj9971q835Ve2sw,728.6633572672614,5,Other
ARUAsvtqfCbD6tS9vzgFqCpyhfn5bXrucfg5Rusgy5vb,728.6628541299729,9,Other
2LkN3PdA1gvbfmLFHPawdesaYiqRx3ndBwhDpqyLFWxz,728.6621368724,5,Other
6StXbjFnjAJMXjRjiyh5wCCY3tSLAcYS6pNNDVY3Y49i,728.66159735355,1,Other
7FfwHpbpbCmQ28pLztSNzcwtEewWxc4hWSgttprSwJXt,728.6615246716514,8,Other
3ZV5zo1z2ygBuyA96zEXF2ECkf7Z9JmRS66Ubeu5QkYY,728.6602028749834,39,Other
AjDgJgS5coPNc6GMKXKboxQ9Q562NcthnJQjCsTtfiWd,728.6600392104899,197,Other
5s1qiyHZsDQBfgJ4Fsojik57aCXk4CKDDqi5QAxFrrRZ,728.6598879740351,17,Other
C26Yjihj4NdHJn4x8JPkKMKtz8ASTDCFNMtjPqtfRz5V,728.659412503868,6,Other
4yc1cXhNYMFj2QCP2599Ud9kfu9JS2LAMhwCHDiYqP1T,728.6580000000001,1,Other
GG6KzvG3geH46Yt4QzoAEdZmk1JTmKSL4MAUz9xGxZ83,728.6567774416399,3,Other
BY2CxkoZJ4VF8TFhsz1YjamD41UmJSgFsmPm5Xi6GqAE,728.6562951826281,3,Other
HF4jr1f9i8WezL5Z3PQ9wYKdpdHJqoAgniB8xYy2LP9L,728.65548624873,12,Other
5X7nw1bPMbRqaD4obXHJN98x6mseYDXZetJy24Gn5LuL,728.6551904092491,9,Other
9RBWVnFisQ1frLzKm7otSoN5BbANEkBqdWeN83wBf2Ns,728.65436557727,17,Other
EXT1XDsu3HAA7dg8W1vfif8JVXJobtTa9zuUknQrtjq9,728.6541761002534,32,Other
HHpEbkY9z5ZtooW2qiaMNNi9bDB7eEAbSh2S3xdneenb,728.6535274791402,9,Other
6Uo3SVLodFTriwnEFfTrnnXKmVrDS8HPsnAUTPxZFpsB,728.652316462488,4,Other
HBYNafRnbxxqyXWNVJr1DP8W9pAuvTPe8UdnKu6VxUch,728.652134211763,10,Other
9w9w6eVrrP3VHiLGSSMkxaLx8314Z1Xeb8JMZ7bG5Ebk,728.65172555009,57,Other
13uXYqFSBARdvGGaGDujksqcE6qojy26rW7n31QbGzhH,728.6513386919501,7,Other
H985WdsS6UAtmauU9KhMZRXNu2EGGYMrBwbDCRRvjtFn,728.651046424833,8,Other
AntaWyT7LhhQ6Y99P7cCspHNCwbS1etCM1Eui6sWdToN,728.65085,29,Other
25j1GtnUz6WvAF8zP1CVwUz7Mn7v7cyeztvERy7RATib,728.6488004964599,6,Other
9xDyzAfe2CyffBiM4mUp3rf2CZc6XfAq738RzbLZA1EZ,728.6485124252499,13,Other
2Tx4K1GzfU86AbFFA3SYAa3XxJMHP2TTVSTC8bk1CKsX,728.6483444551786,57,Other
DaafdHh9TzesF6voa1EPUhbYkJaWKz3N1nenjzQRqnjB,728.6482805659331,20,Other
2hRuwZ491V6kXChLHUNZqTDNK4CC7GkzzVCAD9rvKZX6,728.646973615776,18,Other
9Qn465tkxMmXbhCopubVdWoJfBCHe3nqyFFsG3gbjLtm,728.644651841951,9,Other
D6uzCzNuCCSRKJKdoJTinvcnubsAeLjuPaEnk6uQx5ph,728.64441825,2,Other
GkAF9DFzNpw7qoWmNgMytsHgKD5gB1AWCApsmCHRrEqS,728.6429999999999,1,Other
7uiq5thwkg3rHHMBYG4oB1WaVNC821YWkGgLL96fHe5c,728.642949959131,7,Other
7ozBLBVtBLX7bU8uEiUHoUsPqUS6xnQoNgTfRyZRRFC6,728.6424998068801,2,Other
Amn2NbLKLnZNKCoSws2EY4zA4q5gjoPQPdUSfkLB9A4b,728.642472903571,5,Other
EiYtVwUdcrEbjBPNkfeKXtvB1ii818MVYsXrpNdwGRki,728.64049,4,Other
4FbT6LaYdiYE9BQJcUnDEGsWaqk5qPwPHPLpRhTUMz3n,728.6397092741299,14,Other
HDZtHi6Q8pQSoqCB6Ff2RHpjhhmytThSzxXuTj6EWLfc,728.6386208704241,30,Other
D74cKnJBGFBAkNtEuxjKRH1DdoCpfU7MiwXwvq4Hc3MC,728.6383900000001,16,Other
DbVbTqBhm7Z1E2w2vDK8nP5Vjf82Tx2efqgrojFj4qFM,728.638180423374,10,Other
DZ6nxieWGbzb3PhfsrZdEzA8f2A6bu3BrM7ZM1dYHNfX,728.637847736959,16,Other
BNE219JM25NCbpwN1s9jTLY4rzjGxABzF6Yqcg7HHeRo,728.637309485729,46,Other
3CsDvPaAeGBdxgQEsS3sBvxgnJpeMLfrEt6j1Z2HReRv,728.6370391148,2,Other
5Wo3AqGzeYrMKyJbtP3sx6du6iza2c5vxx4D5VPqfus2,728.6366998250749,10,Other
CFAMKqBRS8MtHWHk3WVKjoNtXmUkN4oggccgSYhoSSSB,728.6361756490335,211,Other
GHnCXtKzDLCaNkgera4DU2rSPqbnKYBYXtLoZEjD85AV,728.6359643574922,9,Other
8NonwqcdKg7hoNqejtw79pL6atkEkGEqVys8c4s5MwVh,728.635277275874,1,Other
CX2wkebn6wKU7166KfRjzvudBxUfxEDmvvngjjURksEe,728.63515071459,2,Other
8PTq1A2YwDqWh7JgaYVGJLRz9Pk4pRAo5xdZwdKMpstY,728.6346581021344,12,Other
CYWFpgEKSYqBWj6APBnaoCvSicA4yigfDvSa4Ji61R5r,728.6341712068009,3,Other
5AoXhndQPedMXApbErYD2QvySAD1LWedCdHoTNsW9o4E,728.63352,2,Other
Gj7shMUVLvY2goj6KfWpPK11VEybqu3KUuh6Di4Ffxfx,728.6331069303599,5,Other
4NXzTZ8swnrrffiWWzgqwZztnVVW7HXAWoBY2usksxCy,728.6319500000001,28,Other
sM6CW5ZMfQhsyZ6kpSGa7E5PAfFGx2Xxbx4Xuus3LV1,728.6315848210679,1,Other
GYfkbC5DCELqEQgwi2srppB3eL1wxCdncPSAsy8BNdMH,728.6300000000001,3,Other
EJzE3GpPS2P8EKeQWEKqaYXwSwKaShHCisBikZmFXaCH,728.63,1,Other
3Tx3dJGbkhFvkfQ1754a3FR2BfRu2Whb6QQNj7ejYXrY,728.629985872817,6,Other
3FqWMeoEHWkTBb5nWVct4pVpyUS2NK8PEw8MJ6SvuPNk,728.629161032017,2,Other
EKm21tQbhf5wBd822oewuewMFPFjuKUCdaudi2oeoHwc,728.6283040665002,79,Other
H4536cMgjhnKH2BuDpVHargYtKW6f68Y7DozJQL6QGEe,728.62828074845,1,Other
DqUyDiEUmZQGHUAjX6TsnXYHmfQN9UCupGAy97Q4TZrP,728.6275931963631,7,Other
A3EEAmgA6UodLhf8kGX8twAn9Yd8hCmccuGWEek4tovU,728.6266974021199,1,Other
CnCVHLBcrPE1XfaENhgYUxj1DhSjH5UreCAPGrG2W4j1,728.62605,43,Other
4bksiqj9AtTEzZbk9wqYaARKM6msGFntH5FaNGn8Dt2j,728.6257002015091,15,Other
9LsvXrYzKT9sQ5PDDnmY9WFTKpMQEDutLZ9nSunqCNNv,728.6244263813691,33,Other
FNJzYomRtMKWhZotiNVm95xyK2b3ndzpzEk9uLoUfZ3,728.623492062714,4,Other
HZdaPqswg26r7oLENskpz4s24PC7iyJtxWWyKPUznn3Y,728.6213590314999,2,Other
5YoAJdtUb7xN3U29nx2ekQQEongZoMvjmrnZzKdiKVWP,728.6196115081871,13,Other
B1AUrp6S1zb6Zc5Vo7LE6aN1LMyBUstuVRFzq999zbaS,728.6187423136362,11,Other
5e6KYM1YpL9RpKubPNv9zgFSSsJBcQcDPTphmmFaYDMS,728.6186933896666,11,Other
7VHh1t9qzxGmQFr9xNCrrXZ878gGwWRd5jCBS3pdJXMC,728.6181548122195,21,Other
Ghr3vTMRBWfDtUXEwxFY155wMCspkhXy9UFeMTq4iGGe,728.614649498016,15,Other
HXPXU4aEU5y62JyjbeBtKwKzJMG7ne5scb8MFmHdKXD3,728.61402894509,11,Other
6tdAaCAefa8cRe84so5Mj2heN8RYtg12tdXBy4HDwG9U,728.6126616930001,2,Other
BWfiWf7vWHDX6EnnLXw3GVrW3H7di2AruENPD5HThZcQ,728.6118647455542,38,Other
GmtKtXZi1WPBdh6csqQA4rsSboC3RcL46PpuyTSoB2AP,728.610455023789,9,Other
8jtvHeCAtDzCHm4S4euKZCJZCwcKxGFnxzR7G7ZiN7Hw,728.6104047841773,23,Other
5YhGdokrT4LGBg9V4yx4m4q3kSVa7qhG2f2xZswaFNBc,728.6095432519319,3,Other
