signer,volume,swaps,volume_category
26FLvXhh8Xo4gz2Qm1rh6tpJCVstBjvvKiF9pAVeHz6E,0,1,Other
26FMkg39TMqFqUcLbNG6AWZ856kiekXLtLQ66JB97jfL,0,1,Other
26FNmooid5RdpR9d5zXjS8emuh5t3PppX7AvbjPsDvFB,0,1,Other
26FQ3jYc2QYJkXNa7KEFKZGhHGEkgB5sVPQzVEEQdzje,0,1,Other
26FRSf9QM8wzR9fAJDzngGTyk7vgNqSZSpVC5pPhRUwr,0,1,Other
26FT1hNrRzCdBHny4hiFaxvyEDPCyXUyVKTTmNsNwhPW,0,1,Other
26FbwJC9cpzFKDU55nwaZZus18zVHhJXjY4FKUnHZ3v7,0,1,Other
26FdQf77rsvwrzWPYZ2pnBES5jaygDB7W1NUFEXibMn6,0,1,Other
26FfR7H1Yx9s6fVDP1BCKuacL6kSYfhGEDaQCkPUF5Zd,0,1,Other
26FgDNeUNAgNq1ooYyRLpCi6X38QSiodyzmtWUibYbdM,0,1,Other
26FnfXYZcrjyaLfRnJZe4fSuHVPtxpjmQBm4K93svQ4r,0,1,Other
26FpQ7i7Yp4m8dZBmsEsMadSkn6yP4aaN9fphZsBaapL,0,1,Other
26Fw2KTEvQ1b9WATDVGH4DgnGpFxxnThGo5HNhc25JWP,0,1,Other
26FwNd5y7D5ypZ1sstCd2guUsaBzUcwwA55CSkYFoHeV,0,1,Other
26Fz4AJ5CXvxynTVjdsZtUToDcVae2MF7fHeyRmp3nzu,0,1,Other
26G1oF59F4BhR3SwMFoT1vLt4Cbqzy5nkvHS3TrD48eY,0,1,Other
26G4od2vMaBk3EfNDPVNg7D2fra6cfggj9GyzaUB6zGk,0,1,Other
26G5AC6tm9oRfgtq9tJqM8UA9Nmjg7vjBtBhcpqaNger,0,1,Other
26G5eq1b28jLZDzdMhd8vtVsifqtgdd1NiccTsBWkyQY,0,1,Other
26GBXVjosmPMKawHhMiDBVh2hMViZ33M7FmfkMeKdEV3,0,1,Other
26GJRVg4H4NXuUhpk8PY4CUj6AoddK6PmWWvhBjCgDhm,0,1,Other
26GRA4wYqsMtUV43oSV8nVnm6tm63UtZZ6gUQAcms7ba,0,1,Other
26GU4SyJA7GmQAvWiV8SwR1zjbaEZj537kNvWnzQTU83,0,1,Other
26GV8t9ZxqXaQxoyGzH2uRa5VRMtbByd2Gaqs6KnmyPK,0,1,Other
26GbuQXjP5GysgkoDDygdpWbNcYSsChq4H8z1KEjDaeB,0,1,Other
26GcXodbLeYwrusPFa1VZtYhcEGfyJdBnDUMGdYXG8ze,0,1,Other
26GhVN7wCcVPQvp539PkTjnQhgdqdZJRUG9m9CXineNt,0,1,Other
26GyFrFaq6e8NVtpw9Tte1Um4HfCDxfXdn7b3qq7y8ZM,0,1,Other
26H1Gq3MbKxzHHAPioqbdLNFzK1p9GVdKrvXKaDckTH3,0,1,Other
26H3q31GbC5PQ4bimx4NcErrF6VkrxxnXXTdbpVBpLk3,0,1,Other
26H4MRnDUpZ21S9qbNJPeqD4897p52LYkGzkW4vE2KWm,0,1,Other
26H4x3ddz8B1rco4nN2UoZeMG7R2bZa9AcD7uLtZ1ZpZ,0,1,Other
26HMsQgrABoozkBFJi6JTnNmE15nrRvJUrZM2YjXmkFu,0,1,Other
26HXPc4kGLj492odkHCsAKcJnWwnbPDPQuupVAkZ5QEd,0,1,Other
26HeSxurwWYdzCWLaDUpD6RTeAPVtFeuNdgqU7AfcjuX,0,1,Other
26HiziRXYCHsYn2keHTFaTHSqjiKMXjXxGZeWLXCUYwx,0,1,Other
26HkidCmq4AuqxpaMUCWENxb6eXVT6KJY3w73g3yzjRa,0,1,Other
26HkxcEff9YcinGE1xmkwFyq6zTdTqb4iVXD4dJxmYcu,0,1,Other
26Huc68ZHQPyMn6cGLrMLvMWMy78UvMq1tjvwP8mMChk,0,1,Other
26J3Detrc58Q2LhTgAg1Y7mxZ1JBUiSjVGUsT4xFY1hh,0,1,Other
