signer,volume,rank,volume_category
C9b87BwqtYNV6BNE55kDePWEMyGJ3Lye2bjw34sg5ZZc,43.81565281211,6300001,Other
G9eFs8UZy5EUXWn7VJQcx2B5yCFnjecSncbRvz9ASwe9,43.815627383858626,6300002,Other
Htkrs8vXrwj1i3AYLjQ3QNDWGLRnZ8zJYW1LSp4gV6Bk,43.81562252214,6300003,Other
9JQPYGGxUTdebHBWHpfqNvDHSASx447Wx46eL62nVqCN,43.81559361016,6300004,Other
YPXh65P6KuQ9uyoz8KgWaA2JhY4PML72Vq3dfeLzPAp,43.81549805394793,6300005,Other
6Z4FiPn4CoU15JoAhgSpkEAsMrFA6CPmGnksGJnDEz7M,43.81545190048,6300006,Other
5vG49rjru2omWmARPmdasccKRzHUAtkKeaZNkRqPPmyn,43.815429262314,6300007,Other
bHBixFYDYFenuRc3Y7PWcKhUfvuwNDpKb23DLaLHDig,43.815400000000004,6300008,Other
49d1hucBZ6qe6wfA3GrerwLqnPLRzTkU77R1DPFoYaH9,43.815400000000004,6300008,Other
68u3FdSWVnSSfLKDffi6uHyfQJFRXz7whtv1kAyjaYv9,43.815400000000004,6300008,Other
2hFXV7Yo2G4VUxRzkya8FxsyUVfKbpVjf9MA5PzTujmq,43.815400000000004,6300008,Other
3ec7BQHYwPWxsVTXPkKbZucW1cWq8rWHXyhKzsCwmGMC,43.815400000000004,6300008,Other
H2rQBtM7MWVDVWe1WQiBEzFkTBfHpfkPAzApsp8MuE6C,43.815399483419,6300013,Other
5oidueQDejcAWh7DTNzb3NMgB2Qw6UXRktHnm9KZGpf6,43.81537693824,6300014,Other
GKTkecvQzdyMaEp9VRiPP5BDCXoTdSyMS1uQzxdnCVZ,43.8153566708,6300015,Other
J6w8fDZMUGK6YKg2sifkTg3nEtSRVom4VAtncTKddoZC,43.815343784309995,6300016,Other
4JgryVnFft5biGqNaRkxiF92bbfW4XnmNoNhYELtBG5A,43.815308442130004,6300017,Other
4PmUXo56CgbMLZMv1rQghsSFKJb3mTLthKS2nJTE3xPb,43.815271517245996,6300018,Other
CZ4pXwhnmn6CAm7BdoUsZCw6yfLEdWb2JbGAsQ6njidd,43.815180498806,6300019,Other
8mBni8K5TH4RGVb72vzvCQxEqGf2EFJVjt1JQSNSw9V1,43.81509756634001,6300020,Other
GYFJwPuQFjFXqNwFTWy1xuQpa2z1XHs6y9EC8VHWTJc7,43.815072623923996,6300021,Other
Bo1fr6NtVsS661X3iiGgva95X12CpxCiToPXuGZLnGr5,43.815056154160004,6300022,Other
8vkMSxhfNY2FJmhAd7WZ8hHZJaUYezc6FZWsUjNeK3iT,43.81503078876,6300023,Other
5hZzUtDLRdcjSD5rNFd9qC3YtnusCKJr9PwUKDFcjdeS,43.815000000000005,6300024,Other
AT9wn6KsW2dAJKGuKSRNrceFMRDcb1SE2DQYgfS77euQ,43.81497802540599,6300025,Other
9LgKNhei1aGU3Nnq6sddACiv6UEZoEv1TT2jZUQ5f26G,43.814972217510004,6300026,Other
87NvNiAUqPKGPZxpH6BCkpgYmTjytPLPrYafbiL8vci4,43.814914819878,6300027,Other
F9it8JuRF8KZMRUhMQUJQ3grMKSYLTu7zfbFNnjKNCf5,43.814883618150006,6300028,Other
287gjpXBK6ZdravvJEwga74UduDY5NBbBsWGTA4Yaz75,43.81488284669,6300029,Other
DUWJZLjrL62GP1RwiZ383qRAhna8eqSQmHXbBVmnUHT1,43.814870000000006,6300030,Other
6upwYNeeKDCzeLkf9zDF3RZnvj69FsejrQXaf2Fjmamc,43.8148509826,6300031,Other
At8yGMgD31nfQCWaiaZiijUkuhy9aiNLfdaLdXiPrPFs,43.81483428042957,6300032,Other
AQmuxUrjheLVHFLm3UeV8UeTBub2rvmdSi9G1cpzQqTH,43.81483214678715,6300033,Other
EtAXaKKUFce7WfCwGh6Vhw8uJnAiB5wG8123xPuCM9XX,43.81482396417231,6300034,Other
B8v6hsW9f65TqwESqhgsrsooYFme9hZjShw6x4bZrfXa,43.8147111648,6300035,Other
5jVW7eDozFqfa7YPcTG9foTeiyYPuHGL9Cco1YWozeGi,43.814663873680004,6300036,Other
9fdKqVdEq8CTpSyywRfVobpqRymitk5h2YtuHQ131gFv,43.81464830739149,6300037,Other
CzyT172NdLtbEZ5NMJ5kyeJYTawx7CnnaQgr1FijJqP5,43.81455779182,6300038,Other
3AanNCT8H9VY4xUsDrquECfKWoE6BMMTBhHZrbBGrSzG,43.81453532961,6300039,Other
