signer,volume,rank,volume_category
4X3dPTEWKqBhsswuGWs2DVghaZdJe3emZaJ5X48rHRyA,13.601830307811236,7220001,Other
3os1m4V9QQbdgNbptVpm3rins266J3cShepVBeE1JbKu,13.60181454664,7220002,Other
AWFfZBxgcYBiTrMppFqFQbz8WHs4F8ZCFd2b5AT7MsJm,13.601812339561999,7220003,Other
GTwm9N71dmoGF6u1Tj1z2Dj3zsPN2D1dGAYXZBRBTbdv,13.60181074096,7220004,Other
GTWuGkZhXrhQSygjYjp3fcr73cGg4q2KoPxmgkeo9C2K,13.60177464184,7220005,Other
8zsQnVxMezTpzdSZ3zKbR6fJ8K3ZtdY3Kd4MK3LJeQzh,13.601755428372002,7220006,Other
8fJzBTjQb9fL9KHaM1Fe7q6Ri27UPoTtixJt6LG797Jw,13.601751053440001,7220007,Other
7iZdgxYcBXsTzUggMQNTyfjfa18MaCULXywX17QVgK2v,13.60171867816,7220008,Other
ExGfooPMHwkMFhc3RS7kufK33EhEJgSNMptpX4Ru244z,13.601642269017999,7220009,Other
C5zWuhExwnXhzCduZCsArgya5BzcHf4gGFxEfpn3EaHS,13.601571737379999,7220010,Other
B4szCCsEaLt3R43BzbuPY2p7N4Xfz6R5wBoHUfQPKPJE,13.601516834189999,7220011,Other
MvQnahJUNrGBq4pXJnLWKkXSGYVWX8TqJLZKfhwnT8j,13.601510251264001,7220012,Other
EJQAXrNS9fW4amR48kpveiTsaWyjQvJ6XJtxG1DFor5w,13.601500000000001,7220013,Other
GuTcaV761tYro1n3NJjub9EmkYeMKs6EPLtrLGWokXyp,13.601499934411999,7220014,Other
GpLhBCaKf85NBnJ5S3zEYnrvopyzaTVGHUnV9n369Syv,13.601493467789,7220015,Other
3xzq1TbzPZtJQPgQ3ArXmwPZ6puNFxHT48M3AUuM9VTa,13.601430381374001,7220016,Other
E6YZk4h8zqFArMTxL9xV5m6RDbvWoY3xMm49ZY9yrvhf,13.601412070653495,7220017,Other
4hutvM5zUp1YkBT5d4vMMrkXxZFABxR4afm66Z1wGyoD,13.601387958216002,7220018,Other
EY5GDngnUGL6QxJk4mdyyyCq2qfBqZUcqyoTRswupo9u,13.601363131924002,7220019,Other
2fQfyFDhB65rnmJ19UHD6oXd1yewko7hNYPUaFBhKgWZ,13.601346288904,7220020,Other
6sxuXTn2KbsqwQvwEobsGWnwpD5r52KZRoU2ZH5HGS2b,13.601330338860002,7220021,Other
pgkNe3NJMJCNuGHDrUcjnfBhQuoyVEKr8ue2TRFdAED,13.601316857739999,7220022,Other
v8bm5a4zL1hDuQQ8afXvQgw6iwmdkWgd15HMujrGdKH,13.60128104504,7220023,Other
9vnNSRy6uiQnWHp5Zwv3HDbEzyRi1v7CVekjtzzBGrzk,13.60127518781,7220024,Other
5ZjtuhBS7iT1SJWyvmjriW7R5bBGfRH4JU39DKjy2wjB,13.60126272708,7220025,Other
Ewoeo6HBNp794VtmbKiSUAnDLseVyEfE1JnZxptLEbhx,13.601209192499999,7220026,Other
7pvzWmveKgq6Wxtqq4WpQRbbkFJLXFPqrXh9GJhp8meA,13.601171843524,7220027,Other
FviQB8jXE2VdxkERjtAcwze4bNbydFn3fATxwfPVGydn,13.601160424687002,7220028,Other
HktHCvXDc8XiYU8YCnmMnQMYGTJ1D8vYfrN8qMMp5HdZ,13.601138976758822,7220029,Other
h3WqfyFphDQ9yn6umSZCvdvu1V6tweSpSM6axq9n48F,13.601125211700001,7220030,Other
91VAmFzvFzdmmZ53P9b3fNrPsdRFvuGk63JQVUznCnSG,13.601105891380001,7220031,Other
5sJD2pfj4o9WtnxB7tDZ6bE41nUhJTKr12eFMTHPLH79,13.60105329012,7220032,Other
8z5rgBjjahUFKCC5eQFuy7RYiw27atfkr7Q6thmTgfzp,13.601018999999999,7220033,Other
CAkUuEiJt1GZGJv9yhXfcjpKSvoF6iAJxSukiPq1C5CT,13.601010923281688,7220034,Other
Em1dXedJSrz61fxwA7owKoge6R8ZkhiKDanP5Sq4mhAx,13.6010054229,7220035,Other
6wErgGHjRumsL5stNvRzeZmaKczjx88zK2uJc8FVFFJM,13.601004868325399,7220036,Other
9CJanCs1jf87cEqt8FsJ9uf36Tp4btiaRPdtVDdFEWuD,13.600970561690001,7220037,Other
BLECbFjFdUDMfzG5UHpfGifMv6jFUHeCNwc9Q3H2tWnd,13.600962699999997,7220038,Other
6AEVsN25X7du2136rbi7YwJ3TQEeS3fUVYjNg4ubY9xQ,13.600949027408372,7220039,Other
8ggyLw2TLNHCgpcT6KQYkk8CQFSskwtrVVsFUr2pgEkU,13.600948661991001,7220040,Other
4NuU9SYm7W81jAH5FyNmv1rH9em5q79GwmpyizBMBzD3,13.600906225711,7220041,Other
