signer,rank,volume,volume_category
2EXBBenvBpGft2zAkDXMT4koqkMdBjuQKbvhh31BHDg6,2600001,867.0626013134602,Other
4tjh9fTcr9H8n6xkLodwz6XXvKZ7EtnSCHhSBhwa47me,2600002,867.06165258249,Other
2CNwdn2euSJWKWC3rF9hVsmvW6hUWsA1bbYC8sEmXU7o,2600003,867.0600594817199,Other
87A8NYcuKRdoHiEo8ap6rf7oR9kQmuFk5nvpk5A1Gwm8,2600004,867.0600517083478,Other
A8mVvYRjgnsnZHf66o6UW4shQ6hDbCatHb7K8nnMPpo6,2600005,867.05901372828,Other
HEnMVjXqxGQeDsELXM8e14XyBPH1Ek6YQ6aNBRZSBLH8,2600006,867.057980770031,Other
6MnNU2xc8M5Mt6fGTACGQgdrYxT4vmGcL8jrXSKrXho7,2600007,867.0570514095101,Other
HsMmZAxT6aTR1wMqtNqCmT1DF2JWL6yWTfqX5FrTPDi1,2600008,867.057009526174,Other
FCkasPUabz3jddVFFjh4aVaQBTVAuGsBonY7968H8a6,2600009,867.0562621441999,Other
AiNNmB3hBv1WJT8qS4mFB1uMZssT6pCbWvH2hLk9x4yA,2600010,867.0544455513457,Other
5WhXHkd99BFEGu3AzqFBCXWayRxn69mJq8G3QqTP6N2S,2600011,867.0544151049079,Other
GRAG8iKWEmbTuuX4eyEZXf18LSzrEpqb836uH8SsY1s1,2600012,867.0539128677246,Other
3DkdxebYhx28QiEGXLhKqm33bKhHpLjAhiso26SZxCqf,2600013,867.0523888,Other
4Dm6DT69eahiAmQitaFzvcRJ6qeuhPrucJzZcdrDG8Xi,2600014,867.05109118855,Other
Bt5iA4SbHJsYtd3jCTdqMb4WB8Y1Gj8nXkSNickcD4S3,2600015,867.0495687178529,Other
3YmX6hUhtrVE5YeAgBBZsuyiE7MyGXM89Rmp36z9fVXz,2600016,867.0486618366202,Other
97kipsLrAKF9HU6ehJxrdK54EAuxKXS5H274yEaVA5ag,2600017,867.0465372373999,Other
Dpqj17PBqfGKtRuRhZFqFQFQhtk5igjyzA31xtkGeoBs,2600018,867.0454724730761,Other
DKWbT19smo6j5uL3MBPz2w3GWYx58pXnJFaJbipdMxBM,2600019,867.044316207508,Other
9HhEfAjBYP4Hig3mGdvcZaxLETNC5JPYAA5oTbmw2fH7,2600020,867.0438224839609,Other
6NYK1AGRivaJPjobZYK1kDyvAfx2XzjZ4yf6eRYbcnmM,2600021,867.04296177704,Other
tbJqL3ocHmVTT61PHsGttc2JZdYXW3ZA4bFJiRj9GQu,2600022,867.04280406163,Other
G7cFTZWSCNJj1q66vePobXwFmbtDi5cSJcdQYGjMBKB4,2600023,867.0427893411199,Other
7vu24Nknjfc3THSbNyLY8NsWHQSj8vUf4Bve8FQudoqk,2600024,867.042,Other
H2xni5TDt2Pb2hYvvQvhgTH7YcLY8xuenTtE2BaSq6Qn,2600025,867.0412268571001,Other
FvAqm6szBUFUPiwbtwsmHNYqnWJsp6QBjYfbTrYPbijN,2600026,867.0403653943722,Other
Fhk73vdCKEbajAwAmK7uYirZJZwaqysV421PX3kCUn7x,2600027,867.0401777880721,Other
FXGaZ5qcq6D7wAWNXN7tghkCCiE8iRsPurGJYbvZD82G,2600028,867.0394964862312,Other
5sLWHhZrg5a74AFeUGGcEXVa3K38hCnQW5RiJmYwtvBQ,2600029,867.0388590038001,Other
6SET6g6H5xBcLM6fThWorC5h8b35ACgDf6oiWTUNyGKF,2600030,867.0381906102859,Other
2XM2Q3vVBkW1E6zjwJahTyeUvnEYLKMSZ2eCeai6Zj5E,2600031,867.0376,Other
2X2XjjD4muUBhGMcBSf5J8DVrkM8ZWLKZVNerNX1Jr2m,2600032,867.03743190429,Other
HvQuepHdDvXMF8Ra6UWSDjAi98EfpYFaVUzFMFPM1e3v,2600033,867.0365575680689,Other
8vsLQCHoAaHDFazv8mNV53hpbqmjDnxiG74X7yUWwgYA,2600034,867.03639066832,Other
886xEZNGbzz9g4kUtUfn5P1gQmWUCrf6v1AKBTXk3p6C,2600035,867.0361407542879,Other
7Lhph7s2GGewUn9YxK1sULPJS9N1XFXt3qrgtDafiMzn,2600036,867.035919708127,Other
DuvfPecZrix78HyCEoySohJEDPHduJemC8HEqZXPQfZh,2600037,867.0346224030401,Other
Cy36FmHx3W8emgewsZx7m4aH6VEVP39jFcdAKof9Kt86,2600038,867.03384162045,Other
5KjoCpWnA3zKQGAhQ7WLL6ReCAFbX3W5L4q659f1aLWk,2600039,867.0336,Other
FBrHdFWfGmvuRkXsk7CF2mKtPdtxu4kzpGQnW5N97YK8,2600040,867.0283544028854,Other
9rPtoUmtSzs4VgDVazwS3EB7G5R8L5AVx7ygq3gbNmam,2600041,867.02810855537,Other
Aq7ew6uv6eEiq2R5VSTVdjkxyN7HbCW3iDDasX9EZRCn,2600042,867.02765283226,Other
12diTNaKHx4wqdMjbyA5wf368qHgiVbBN8FFYxZw385X,2600043,867.02640292098,Other
26G5AC6tm9oRfgtq9tJqM8UA9Nmjg7vjBtBhcpqaNger,2600044,867.02503292754,Other
DbZQyDtLFFQFQbesmbLEqbbczeBbP75ncuirdCDhwVeG,2600045,867.0249579264103,Other
AXHthEMvoVxvhkjaxcNKGGeutE7ofW6fr93dHtiaHu2p,2600046,867.02470012144,Other
CmfoyBLh3zj3B8TbnT2xM7mGbrRGHW2tUrPsBXNbXYX2,2600047,867.0241383772999,Other
F1LTbVgUbz7ctud1CaKPPCB2xvJbxuYwsB6N1iiGDqYq,2600048,867.017338123526,Other
5WW4xVX3GSbgFuFRsbGtS5a27CBXFiYegZpwimoFLUxR,2600049,867.0169705483411,Other
GEr8gZwQuDCQk59twsr2WeF99viZQbt9JQWRhxGsNHSZ,2600050,867.0165801,Other
fe6QrxynYMKFb4QNDeeZMieUTMcfeBxCeSTB1767GfK,2600051,867.0154775641879,Other
DQz2pr3HqJd4mMqjVwKsQr11mT3KSTRdB8Daivqqhn3N,2600052,867.0153420323999,Other
Cy4WbBg6Eb8jc82KwjWeMCmnnNBzFJTW9ZbEwYVdHMBD,2600053,867.01474296687,Other
egoytoB6Y2nEgye9pHr9nuY4odxNQM2qB8h71M8Z89T,2600054,867.0129282093401,Other
Hg2VEE7ujEVNMf7iftbQjLi1CnXG27KDp29RD5YBnSCC,2600055,867.0129207196801,Other
DKq4ggzmRvnujMHxsKACv6xRxkmCaE8KWcmChabxPL1x,2600056,867.01248,Other
