signer,rank,volume,volume_category
5t9JSkuS48E2JzVYGXNnoGj1QLZRiPbmNB3dEtRitK14,10080001,0.0084545,Other
BcQvuftPkrYwpe21Q6fYBXfb1YDyqkbfg1MAWTFU7UdA,10080002,0.0084545,Other
C4hGqKcx1Y1UgL5JoF3fbpyxTov1pzgqLwLdjwHbSrAD,10080003,0.0084545,Other
3DF5xVjMgBYTUnp9WZ23wPB1YFFxtBEXLpNK3gT7sy77,10080004,0.0084545,Other
9kDpLSqo2SAeviPKVkVJymB4e1S4wYN6Da2yo4u9qfDF,10080005,0.0084545,Other
GghZdYJi23zpyUdtp5qjXgH3jVJt8xwxPRDR6cXSm3tG,10080006,0.0084545,Other
9yNsFvuTJeBEwmGVWVHTJCExgPQVhpQ6NUZjoWoVdPXH,10080007,0.0084545,Other
EWg53BqvNfC7xk31xt6HfoAfVSq2yQK1hwKnFENbGmPa,10080008,0.0084545,Other
B82iTnxqieCpkVdiRTDHjBzUNQCCvPUwVCbvMWUBd1w,10080009,0.0084545,Other
2sB3ny4JVvY5N5Ph9M9dDDViFHCe1YbKDUR2GBJF3omy,10080010,0.0084545,Other
4iLw6pqfw7se6WzqRrq3dWkHs9nAKShWFNy2MhNbkHM8,10080011,0.0084545,Other
ExLZbpJUjUyXp25R4iXbpVSVpBgebxkU1pTzfhTgUKsr,10080012,0.0084545,Other
AM45KRzr2L979wuSv6M89PKspEsBpnSELKEWd2rkpV75,10080013,0.0084545,Other
5LYBCzQgT2YoN3x3bJbKvN7ZZTxJ85Cpx7WzyWGwFAHt,10080014,0.0084545,Other
6PnqaQBHHqDnKAtT9XVDhMFTDUpX9RvJKjGiCY7Phdh,10080015,0.0084545,Other
4dK7iQsh6hNaXdyHrjqYzHAWVUehgPkx63QzwzKytiaQ,10080016,0.0084545,Other
E7De6QtesgFwXfmZjNxUMqd963C73hid785qEqFgxkmF,10080017,0.0084545,Other
6PwzMkxyzLH89xKpXsbfLEThX7QMRQnhGUNkghFK3Nii,10080018,0.0084545,Other
H8Dwq9x44PD9nfAyXaamPVMSDopNGqaLKJWXveAAwoqx,10080019,0.0084545,Other
6masLWmadQ4Gf7YCyiufJPciHDrqY7zthjGKTZ4HSn59,10080020,0.0084545,Other
3vjZpgeyf2oHRnonaDQCikwFH5zzJMt567348vFFC3Cg,10080021,0.0084545,Other
5N4UgRDMxRR2s7KbBnVZRCPurk8whLerPNg7oGnqd6Ct,10080022,0.0084545,Other
bv2kBD6YuJjAjQ1sRz9MgTJn8p6rJ9Dwcqtm57rFyj3,10080023,0.0084545,Other
F9bcSAMjvquMNU9Fm5iSx7Nn4hDJti3snSHxCxA2fPme,10080024,0.0084545,Other
5mAviQuk2E5xMDTQ8WRg5b2CyE1fTYChdp8SjoUwEwze,10080025,0.0084545,Other
C7Hw3H78gV2rXS958vSkrvnE7zaQuLTXzVBczWvMkLQj,10080026,0.0084545,Other
LHFnHzH4X1wHPsDLNazK9Knt4URXXnA2C4JUJ6a3wD9,10080027,0.0084545,Other
BNR18FBVpoeN9H9c7KbzSjUDWBekDbKojMA68pLinR62,10080028,0.0084545,Other
6XF7hNNAgQwW5KLdXoVFnzdi1oyL6ZCWEP3Decn6T5i,10080029,0.0084545,Other
82DHw3Q6WpTbE5ZCC1nWQPJD3krhUBHa8rYQMeS7khqA,10080030,0.0084545,Other
9z63dhXAVx8hjBkUy7gEv7iYPwDFkPHzSLajQWqP8xcV,10080031,0.0084545,Other
CZcrCTkf2ftWB2iq8NPCDVKbpN2sZsc39ndY7zkYvPss,10080032,0.0084545,Other
61JjNgZwcw3xu2nazFeuzMC6foZ6RUXWEC7oTRvQNWwU,10080033,0.0084545,Other
J4eug8txwMpqTDvem977QXMAXyguuVDMi18oHrayaEq8,10080034,0.0084545,Other
FiHk2niUyY6mHUBSb2o1TABM1nWErAcD2qyQ3x7ben7U,10080035,0.0084545,Other
DLFBQvLhnx2usK6WAbRhkvFkXF3vripAL5LkFNQjHamL,10080036,0.0084545,Other
GnRn3CPbLMZydDYDYERYzEtSMWKe7i273bF6QwBfj2vD,10080037,0.0084545,Other
7UCEaUdziPRDMiHEYjY2r5ETqQb8k9H4jC2QhoFG4Q9L,10080038,0.0084545,Other
9duGoHRhBp89UDbUfSvuTzngTApAomUGeHVaWYMPYSoe,10080039,0.0084545,Other
GPMwb1HnAaFZVBkcGzzcU866Xjr6n3CTmdc9S6D3rY4x,10080040,0.0084545,Other
8w22hnoCv8AY3SfmtkmtQdHf55yWZwDYhLFXNvehr2K6,10080041,0.0084545,Other
A7iMgXhwGta4e6sGJbX3izQGLdJxNHQMjQGPaXy9BuaQ,10080042,0.0084545,Other
AV2U9Gb7t7cH1xboh33vSCHADuiQoVvvjckH1oXLKCew,10080043,0.0084545,Other
GgyYjwQdPLQZmSgg2A1HSic24J6Hv42Beg45NKWJP8t1,10080044,0.0084545,Other
