signer,rank,volume,volume_category
6aL2GnxBCht1hJ6TWXnSiknnmseaEx8QAxmMbSWwxuwv,2380001,1050.540294687208,$1000-$10K
5hhApSumgZpAc6N6N2wa9ZGVRJbuDV8yTh9UUo7D6oTN,2380002,1050.5402695077403,$1000-$10K
29AuUCh4qpYfo7iLo2GhJALnqECVhDcyz1XPDDPUBWdz,2380003,1050.5400835978098,$1000-$10K
4if35322XjN2mEkWqdwp7rCEDhiuaKQGGw7VJKeRwRPY,2380004,1050.5399271418398,$1000-$10K
Eb3J7j6vn89PoCfy2Rjxn6sUJ8t2TxdQLtftWnZgZQRN,2380005,1050.53970248952,$1000-$10K
6zFdraxU55kvGd2TFoZHVy8FxhRUxckZV1np1zscDaCD,2380006,1050.53962277472,$1000-$10K
FaH1z3o3ykBW31LyEYRHzgUFSaCPdQ4taYqSTLvLReqi,2380007,1050.5390983080301,$1000-$10K
H8eiS1AfKYusxsXK2us6Go1mq1mQJgo8n93X7fjTSj3R,2380008,1050.538940782126,$1000-$10K
CMUY9k5yx7qvmw8Mbv8cnHb33eewRuVhvc7fHKHLAnNn,2380009,1050.5388635361198,$1000-$10K
He211GE5tmoTXagQPtdrtHinmnT1veTv54973qLAQmV5,2380010,1050.53859673254,$1000-$10K
EUK53thzPXqZ1wn1t6RYk8ymqkaH36diPtZNhses43qC,2380011,1050.5384955601799,$1000-$10K
5e8jZnt1YnCLwJsqRepWGzMZVpzLo7CvCQ4JguWQkhbC,2380012,1050.53842310248,$1000-$10K
GMSjMDLEvbAGTYdnYZoZ9pAzPMQYHqMCku3LPNqUHnqw,2380013,1050.5383726507798,$1000-$10K
ByAuRBCHoMExMhiCKsdmfAFMSDWuwXLKSeob3D4swCbc,2380014,1050.538294242,$1000-$10K
EMJ8mFEpgQ4sNGHmt6k11uQVKVqSURgiL1KiJ6jBDkKv,2380015,1050.5382430230272,$1000-$10K
4c82UYbCqrKbWYmao9BdwECztM6WuM56Paoyub9zdWV6,2380016,1050.538211066351,$1000-$10K
GuFTCokkhNfiGrhBZsNinEqSeqv4fQkkLgAwVxRKszWE,2380017,1050.5377743374722,$1000-$10K
AoNmMcCBvzHmhZEjkYiTvo4Y3yk1JUWSz5c6R8du4ah7,2380018,1050.53742080087,$1000-$10K
