signer,rank,volume,volume_category
4j2hNSGpQjRrquFAMyFNttjPw4KXzvZe4qEMD88rbSwz,13180001,0.0014729,Other
49Hma89iBAAMAcSkSRDbvSTbVDQXT2P7p4TyBvTzAvcZ,13180002,0.0014729,Other
A5bqCR6om8puN5TTvihdRsGuescQ5Neaid6UXVfRqgwe,13180003,0.0014729,Other
FfxBCCECPRmHKFQU7bw2SmLgN4ziMNLNQibBHseFFb2f,13180004,0.0014729,Other
7o5snzxEPb5ts1TR1uyrWTAKpSi91kY9GPwfKE8USRCw,13180005,0.0014729,Other
5A3Wm6BJicncLTEsGrcjbadE96d4uRcRXvEpiSquQ52G,13180006,0.0014729,Other
5WFquapCYjVqamKEN9EGt1B4W4k1c3J577fjTZyygDMx,13180007,0.0014729,Other
NDqrenzAJQaB1XBxtrTk2CHdg1R4u97znPGFRJbSHee,13180008,0.0014729,Other
HtipFp2Zp7oAZxQYzNb3jLD2yTfF3PyhXenWTbvZZjtr,13180009,0.0014729,Other
85rRYono5DS1h56KT1X3a7gKJVh4xqEWNwocSpK4ex7L,13180010,0.0014729,Other
GiFgw3pYtWLMRzca8o2EWAG5PCXoWbJaNUbdcUhSBX35,13180011,0.0014729,Other
6YLbCvRyqbm5RV994geyehUxho8u5c98nKvm7EX9GkB2,13180012,0.0014729,Other
4Y5JjYGLiYZHekchgM2usSgwFQskq24na5yPuSk6VASZ,13180013,0.0014729,Other
Gv4sZSTPVqjtEHUJ6kCkjqbjLk3LLk7FKnhQ3bZJTCsu,13180014,0.0014729,Other
Gid31kobc2jLhVVP5FXJwjikme5fuoW7gb8z1vN2Kz2o,13180015,0.0014729,Other
4NADRWoaGfY2ed9yghLMtpZYe4PbVyzRpVw2tyLjs2gM,13180016,0.0014729,Other
5qgQ9QVJQmWVBPjEGZ1SSDXKcMss1eAyPwPnnX6B4z1B,13180017,0.0014729,Other
Af9jbjcg6XdY4tEroeDSp6kj1BxE8w4A7wTo9R7U2rQT,13180018,0.0014729,Other
CPCs1WA65LA3fUKQKweCDd3FuegQm36ov43yR93X5tYp,13180019,0.0014729,Other
H5V5nVNawHWzwBnkgnZ5aNyvfPG8PEzBmAs4Jw96NVi4,13180020,0.0014729,Other
53g2Md3cvhQJxBpme9ZD4PD52b7np7UJUNEJngQuNPRe,13180021,0.0014729,Other
