signer,rank,volume,volume_category
GNu5Fc4EzBrsw5dMzk8AgtNXa7PuTZ7avq1xmpT8bBw2,2860056,683.5006569862801,Other
Ame9NLmriWxePgSnoxvAas4jkHRahTDsqy9EFWTxDFF2,2860057,683.5006151424001,Other
GRE4KQ8w4dnwVYaCDwLu2QKyqndf695yEmGvgbnJWFcX,2860058,683.5001781574399,Other
AFQ6BUGQbQNqbstrtbeApK3G4tUKSNnooLJxb3JBonzD,2860059,683.5000028695401,Other
Dek5pBfhFxkbqn2bYNwpeAcMUm7UTBgSMGBUP9bHKkjP,2860060,683.4984447262934,Other
H9GHJyxqWurRnEzgUqTiosuq4BSZuyY7C7CZLL1GYDmB,2860061,683.49781264783,Other
BwBSZgsa4jmiMk3KZDmifFbjqtJ1BNPC8jq34tNpPxWW,2860062,683.497087312,Other
d1A1y9hUwM1VvQKwtzoWQcR3WHqAth69jLazXGVMt8c,2860063,683.4961090352751,Other
9N3TFeKYpCWCVHKHYWqM8mKiWrq4sqsrzTYvx6SGEe6q,2860064,683.4959456118,Other
9A2rtWBhMYhL6zkgeGB2uDogXP7jvmXEt419UP19Pr4H,2860065,683.4953591824999,Other
6fYr1xDPzLodE7Z8eT8mRzrMpXsq99LQKbpVxdoD1riW,2860066,683.4952919771599,Other
9c8APA7PT4fbUrmgqv4C9pSfcB8XTNxiXXKzEYsSkxVn,2860067,683.4950296092,Other
DmPdTMCfgJAhhVhE9EpPdDscExJCD1N2v9xq2PpFEu9e,2860068,683.49482659458,Other
6wrQwaPfzutQECyfviFh9FXmV3ppXmuWiBzLvJQ5qQcs,2860069,683.49430223657,Other
Hcs8cTaLZVHa3SZXp1hJ2sGfFvUqNSo2uZu6KAaiDbKV,2860070,683.4940996885,Other
CCXjJHBwu9csX7iBWzCvXafwJ1aLsgM6jTZ66e8bqRX3,2860071,683.4939989683597,Other
CYhk3nm7AGgKsyJTryv1xVNUnH7N2WAefkj8fuS9WxdE,2860072,683.49384615303,Other
54RN41jtN9AdcuSL6uHxVoJpt3foLsfMRpZfsiwpbhum,2860073,683.4930795,Other
2p8k2LyXaDNuDBA9UZSAbUm2MVBsCCEUhKyAsuA5fAf8,2860074,683.4926246944341,Other
8hv33FDFpB1QCrwRjzpZHKjFE8ZBQmhqz8cJinUXnRQt,2860075,683.4925899377,Other
4HCJUg3cMRspCfq9L497XrrHPZStsfXBcqEVBmozxGDi,2860076,683.4919004378501,Other
55KgBNyZjQV2xEffGM9zMfR4fELYKgKgeyTXPUNBfWy3,2860077,683.4913425367279,Other
2ZLo7QqRELq1wjfskKCrMM9kfWGJvG9gzBhjTXgE3Yea,2860078,683.4908934573572,Other
FxwGHZB3tQQUy4ovpsESurTS5AC1gdsF4ZUsxEzzyisA,2860079,683.4903349518057,Other
CwyoLkNVfg9zFJqwrggqiLVTKB2n238WFBK6Utz7hJWR,2860080,683.4899786348701,Other
ENKKn1eR8jvLLAgqZ4sogUYwxTFd2yR6SAJ2Xxxgt6pY,2860081,683.48954806839,Other
BnPTHHCWox3gdSHNLzRhBy7Xriw3NCdvriD1EqhBx6BQ,2860082,683.488696080162,Other
HRX4tQf1u7YfpMR4zxtsDHYtyc9xpRokuhoPnJHvrt2p,2860083,683.4885035211299,Other
5ccqu8fYZLwyJmugpLCYRTigbZL4qTDjgRY8ZCuHE8EE,2860084,683.4881467150714,Other
7rGfS4EkQFEwMZEWAicJqitM2MAvzAvWw4JSmeU4j8nP,2860085,683.48779386674,Other
AuP4Xd9RKbUA3ugyCiq4aijyqt128dyM6Y2tPvzgGr4h,2860086,683.4866240419301,Other
GgPzEPZzWsBGLRuokXvnNR44NYMZfpL9A8cD9jhmnzbV,2860087,683.4860784891,Other
EDueZyJqNfs6YZxD8p8WfS8owRR3qHcsy4BFo5KVMCWZ,2860088,683.4847599999999,Other
9ckztCK6seeYC47MjbFRCAqFwREpy3BFLgvU1XQGw4d6,2860089,683.4847599999999,Other
5VUhFBDqJBLojcAAWF4aj4EYgv6gfZ9RHksoTwz3YJ8D,2860090,683.48313494505,Other
78R65gQoxWYkD7ZxqV6RdBPRgr5c5Za5Fqzjtuj3xN6P,2860091,683.48278807149,Other
3YhoJBQuooAP8jdgokEfdWwEKXmaLDfZMMKJBq57HVzb,2860092,683.4815942332099,Other
AJdZfKFxea2wBJxGv5x8UJRsZLvRKDJ5S8bLjghv4L8R,2860093,683.4809562540499,Other
4z9WeKgmUmpWrDfkw29Rp9XLZAYMCMGyKuqDM7PPDHnV,2860094,683.48060686469,Other
ABMsr6pyGfH4DRscE664M8J9YUh3T6xz3EkB4nhio6gZ,2860095,683.48037576582,Other
2WRmoM5ZRYXoG6Uqb1UMJS2YjHx7oFWMTmcwyCZxKhh2,2860096,683.4798981295501,Other
LWr6Q7hC44Cf7tHE5z1UYyTtxdhEx1WrjFnA4i9x7pa,2860097,683.4798929461899,Other
3dPQB6Ud15WosDAUHE8SWCr8WQsXSPyhc7wHmp3Sy8gR,2860098,683.4780529858001,Other
3KPhmNP4tYDUm8n7gcbEGWDQzbmVXGVJ1CvfmoDA4TGX,2860099,683.4769540750501,Other
28Ac6QLQGcNc7VcUj2fWKhYUyaWbqt61vFH4ao5nU7wS,2860100,683.47630825029,Other
8bGCDoiA8ouqJpo3ZCUbtbqNKNj1WkQCN1XcsE6WhNNd,2860101,683.4760408788289,Other
7YRgwmKDKFLhXsmpTEncDeKBBBsZigG7APcB8o7pHUo,2860102,683.4743501133149,Other
FNWfyzjgHBm7sT75YwYSTKXdZTjBq8Bofcj8FDjUhgrm,2860103,683.472005118687,Other
5ZEYNhQWa9bjYjNLG66C5MTqoGuxPBXC15Ydhdjgmdqs,2860104,683.471339685039,Other
FeHF6AjaR3EsgFjoEhm69wznoUzxs3qV7JzmbLtETLLG,2860105,683.4707233477401,Other
EJw2x1xG6d26RNWGWpq3fq7FEMZg2Zbb8rLU4hfAbXmm,2860106,683.4697486171401,Other
ErVf9yukzLGrhaMA5c7hQEumDAG82t7YXnyJXZTEGzfX,2860107,683.4694461750805,Other
27CUC8xVzEzRvJCqUbXaibxmUik39ZCcffw18ntsvhdv,2860108,683.46821743763,Other
DWxZfzbeNSWx5qz9Qc3jcJaHN9e4J6T7gpvMc7T2Qo5K,2860109,683.46782905812,Other
42BAd98SzC1hZMzHztFewBp37DLAGyx2t1K2HEoPPik7,2860110,683.4678,Other
JCfTkMmGr6DZDZCqEcahgVqBTaUT8sqTzJbxxv6VDZVv,2860111,683.4674061184301,Other
2RGsevgwTLYkBsNLC2J2NZA5RtYd5sohBUbK4d2rEorc,2860112,683.4670219209601,Other
3xNrY9gWE2Vxgch9K4KUBdWuXiBomy9oXXT88rDyMjd4,2860113,683.4668631949551,Other
CaYNHdgiFizGKVZCiLjb3Mjf7nvEeYxZEmdmnyCuAzeM,2860114,683.4657238772269,Other
6jNTA3U9HN6h9RHRJQU2wRnaxDsU7vQprob4NXJGdbvP,2860115,683.4633752840081,Other
HB4mVVVXFPGtVVfXxFsEBYXk3BbjmT6E929nKYfT1rQ4,2860116,683.4624671581561,Other
5YRoo6SPH2RCzp6iAdy7mey44MpMvXqp7hpkwRANhdgG,2860117,683.4617316973599,Other
AxKQJHzDCZjyzjCbzc13YeFZW7QA5vW6R3yMn9EJPomw,2860118,683.461547314072,Other
xgENXGcgJ6FvHZ82ZdTRxVUvbb4AKbb29Sji6r2Af5z,2860119,683.460928306488,Other
7ynPCKGTvifrjXHP6zHRWxZQQkH3z9NQgmjmGuPqmTQ3,2860120,683.4602959229991,Other
HmaD7BSCbqm8fVWMhfhjm5cSsi2uELNpjgbo3sfpjUic,2860121,683.45840788614,Other
EVesQH6ZHH4kc1vh348JXR5BpnGuEtbj857VFWd2tFKP,2860122,683.4583795531465,Other
97PQ6JuNLVvefBWaiVnkq9SjH6CxfJKKFLqiKEtT2HkX,2860123,683.457332618166,Other
BsNp9BJKLu7TKefYyTcSBdhKkzduK36SHqLq4WPwfVqS,2860124,683.4563133848967,Other
AgBmLYQDH9x69EwnXH3rX7ShU2RgwDfmY46uCreTsMKs,2860125,683.4549291767302,Other
7FsqiVFBXxM5kww9UvcisktwVERhQgCk4h5Ptnuxgm12,2860126,683.4541492511371,Other
AYdDdQN2SMCEQYEpmTLpwpsHBennSW48ojDxycYprmha,2860127,683.4538872870779,Other
ETWXp9wynkYPZ2KdqQXEtKoh19StZZS9ZuV7zPYTQdXa,2860128,683.4535674549601,Other
2GBsJKuQ655aUHGuawu4QHSdyTiwP3QFSXeBk3uzd6zC,2860129,683.45325060688,Other
3VWTboDHMPLySG31Z8kHjGY2JPocWCAAB9QjLeEpJvQF,2860130,683.4522027647299,Other
EmwwE7czKwKrQiL67PrJtgD36qC74eTebaBjhWfGS1WX,2860131,683.4522002591301,Other
3g5qi7FCkbRdYqBHv9u2rHMY7uaMbVJURER9VBDP9Huk,2860132,683.45199061395,Other
4qfCpBQfRSC2AbXwqj35jzSRAkXvrKtDQm3fqwvBKz4M,2860133,683.451831801798,Other
6q5HQ8sFxPWGUomUpZWfP5Rp6BsnKBpy7bRqhgmzn1m9,2860134,683.4504496366101,Other
A9ryog4MZt764dtm5heSschtWXy3G5ex3eP6NcGtZwqQ,2860135,683.4501979968701,Other
D6298ZeqQBZfGAS8X9WpdpQzPB8RVGTueYvNk2ehnnRQ,2860136,683.4501787036501,Other
HYf5gbhztnmDC6yh6K6PRg2PGxbcb6xmTrf3CU1B8ihx,2860137,683.44967344472,Other
CirKmw1JYC1JBN3ZiEzFsZpePdyPE3CVxuKGFNiDRF3p,2860138,683.4476534832161,Other
Cns62tZKvYAeQcvjufE82SrPHAJxREcAkcsrHUS41UGi,2860139,683.4474206540598,Other
RtTU3czsi5uU1XAp8wW3AqYB1jE3vbhKcMGLHzpPbXs,2860140,683.4468560728901,Other
F1YybZtG4H7fgtNfVAQn3UHNY3Q1C1hsbTqgk4NnksQx,2860141,683.44614919936,Other
FZFu92YvyeGpHJDtEEqoypqeky8F9PnC3dPBnYLgNvGa,2860142,683.44585051535,Other
338GxGQ2n7zgug247YiAcrpq7xtqEK2U4CM1a8qw4pr7,2860143,683.4457473397899,Other
Gz7UXxPL54WFQ7omt9MiERKzpnt7sc6SENCVAkxqnZFx,2860144,683.4456497425253,Other
5hC3gVJNreJJNANJ6EZtmiFW1kEvT8n1MYQC6K14c3x5,2860145,683.4451956315199,Other
bnanNPp72YUgeBsfHGVbaAuWG1bQspyvWdTLxxeHb7p,2860146,683.4447998338,Other
6WPsEcsB6VRzCuUowMn9kpW9Pe5iMiqYZqCuKQVxgm15,2860147,683.4443,Other
Dn9JsMXxDL3LkGMT9ppPtm94J9od8F7n9FW9FZ7mcaUD,2860148,683.4440532371361,Other
Dco76MxMigpqk56e7qbsmDuBEW4n2Ktk4PjopVVqGJB3,2860149,683.44347081706,Other
5tngpyWRSWFsiiFDfR536Q5sPYWgfseXyHWy8czRZYhU,2860150,683.44335874236,Other
9g2SVQcDPnyrcpUPEkii8AxiR2v3s885Z212dPJRrSGj,2860151,683.4433249926599,Other
8rL7GGXjHsygVo2p858HtV9KefAZUuXA2ciwvyYfZeLi,2860152,683.4432815839,Other
DzBYPKAnAgSKZxm4UWrJ7Mfi4wd3BwBnewZpygqSTt5o,2860153,683.4419514345428,Other
4fuC6EcHC6MngVrQu7z6L8saHfE9qsMFJhDZA1PHpG9y,2860154,683.4411374502802,Other
EHxHZd1kahu7b2XTc9HqTK8aNvJ4wLHJvT5SCWDpY85a,2860155,683.44024089321,Other
CaZ8zs6kvqpgwSYrqqWjnWQ7gRJSqrMoHU9wdRRn3ewY,2860156,683.4398933573343,Other
2Nk4N2eANKsgD3BhYB6xdwSgofiYRgr4nnXRvF3WNHM7,2860157,683.4385950165799,Other
2xsa2gE1abePvbaimoMgDgabQoqYezww9m34UnmZy3Bd,2860158,683.438467233591,Other
7Gyb9mNKqVkgfbg5cqraHKbe6SWWQ1vdPatXhsDP4B9E,2860159,683.4379197747801,Other
9KAaejLd2a1E3nZqaew4jgR3thwsNip9gSZvi5ddExWH,2860160,683.4366245700692,Other
ETYaBKRgEKwnSCCegT1co1kc8ff3v7JM4eHegn2A7qAS,2860161,683.4362745557321,Other
82aAYEwXKRJv1G3BhLeagba4xMTXBkXD1UF5bAps8xJS,2860162,683.4356745741906,Other
7NmFo3BZfzuuZFi5oVBTuKPGUgGXYNuncWtdiv9gw99E,2860163,683.4348312201,Other
J4orVF2rCyxYEF4hWLmzLPUwVaFpJnCLfCGi8ymhdyck,2860164,683.43470355,Other
BQffgD5vh67zuGUVfJTzaWvZtCuJ2Lc1yUTKk1zxk1AE,2860165,683.4328154707599,Other
32mxu6FwvcpWsvYKDJJR643EEYFYTSqnivMANogUkMsi,2860166,683.43280576048,Other
Apeo8yGzWBRs1S3Q4rxqZjqm5HPVaAe1Za4LdfJqF9LP,2860167,683.4308977175483,Other
BFWneibBhDnzf4J5jY5wdk5M1GEQM1oNkCe82eSX8Ne2,2860168,683.4307644983901,Other
2Ge1jTsLEDi1caPqPN9pWcHJhPdYoTYwxVSdsR4WzM97,2860169,683.43032501079,Other
Dx8wNa16uiXw2VKzq12xnY51v3maUqj7cN71GE4ZWjiW,2860170,683.4289533542379,Other
7na3q3uq4rWSFpVX8wQnXvXmA7HyQxQruZ4ocUKecKby,2860171,683.4266268187542,Other
DoQx4G59WxsWXg21ZBAXsQoVucUen1nZMdZ1bwwUNrLt,2860172,683.4261241574201,Other
2Q3waZui2GpPnjwKwzoXCbzTh1oQ8bHJPsH8gQLUK4oJ,2860173,683.426067089724,Other
CdHmfJLt8FBdKNKFWqo5mMc2WQzBLhgAeN3hKguyqDKX,2860174,683.4253972710501,Other
CZrWM9Guvze4tNxuK9oM89MraL27B3Q7YkaDTrAXqMQn,2860175,683.4252839362132,Other
2zt1wE1KK3xNWucXHsjtQjVieJyPutZZ2YWWJomgWFGG,2860176,683.4249638617147,Other
A4nMUFetr5AbyCpA4yeAnJHqh1UtCoGzWWgYH8TExdWk,2860177,683.4246959235,Other
AuYCqmXPAjUcd1a1BP9nQtYgG1wnfLSstnC8GvXfB63d,2860178,683.4238266297925,Other
8GH4nK9nLNRbh8nAbXnGnZEjpLEAsvoKMDM96u3JAGb3,2860179,683.4232970285,Other
AaiLhbK91SuqRdu7wF25sYHL6YU3MXgWFYEqbsgCo3tE,2860180,683.4216292336,Other
79kGtU1VtpRoGhZ4pfx7GXZgR5uaKt2xzkCzJsVhtsYa,2860181,683.42118864436,Other
AdsCPTTs4b5BM4nnaNAmTtGeDi2MqP2nvFEPqWEStyee,2860182,683.42082914967,Other
4ZvHzdBH1vBBgfSv1HfdAzAAmAZxdCiUZ1dZE14bwTPK,2860183,683.420813905,Other
9Phw4ikQNXzow1vvEfrisqSCNJXFj9Bvs8fZWZHetpga,2860184,683.42014782886,Other
3wjtnSZXN4LfRnqoEuLAG8LiQy4AsfPFiebt5AQkvMyX,2860185,683.4176,Other
8p2bZMY4BCUTMKwGWd1kxZ1cYUtNVJFnqSbxVmuFPpcr,2860186,683.4169296,Other
9v47qvf96d32ucmqSvGFGRVZo9u4ECjvZ4yivfdditaa,2860187,683.4168000000001,Other
D8ahisENoC5dPBcr3GKR7JA8Y6CXyiz1Y1WNVzNG4BKk,2860188,683.416273917382,Other
5cdXdCBnZDdNH1eu1YxyPZa8KbDGEDbZff3BB7ffoqeU,2860189,683.4162357539319,Other
72azXbBnLQjBSXd2QLWAbbanEEkpFtWqutZZaCyyy764,2860190,683.41515072528,Other
8g3G8ScaXweEJHyqdM3gTy8rBcvGX8kPYyDrtpKd3dBx,2860191,683.41422102291,Other
