signer,rank,volume,volume_category
34mJuBrW7ErQe5qG6bsmDmgx1y9tbkQj829PerbXUGRF,7960001,5.49033215615,Other
2s6KPrnbqJG6GxMroM2QLJeAaQEmYhLYxz1zQ4VDtaJp,7960002,5.49033215615,Other
Fdj8EhGW7DHMXGYQxPP5Xe3QBBCMRjg5WjYxXnkur3wJ,7960003,5.49033215615,Other
BDMpzeAEaGqsEKz7iVaic5k1FW2c3cEC7TcHT8FyBSQ4,7960004,5.49033215615,Other
HvYpCjH6umR9hikME8mFxEDsbJN7EnPabdPmRxYXQgWX,7960005,5.49033215615,Other
3UBJyqxfPknKApykXPqvzvXzbs1P8ZAtusyb4L6s2Zhm,7960006,5.49033215615,Other
8pqh6xPtifa7b2GYNknhPZhB4nCAombRWj7XpNyaPxVw,7960007,5.49033215615,Other
DgrNWBihQV5NNHL3QawTDev7ZH6BQrNk6uAVzpCpbYVG,7960008,5.49033215615,Other
69orrVySrvnfby9mwUhhHhvsTjHXCibH3SMGZsT8heVB,7960009,5.49033215615,Other
2cqk9Jpar3ZasWLg2CFgTb5mzttAKmXAxHQNZgH2n5nW,7960010,5.49033215615,Other
HUHfLXC3c7o8k4sZZ4o8fSm7rKrVLn5ZjL79LFvDA4cu,7960011,5.49033215615,Other
23iwc4BcqzyDHZRYeKGVurwpxvSQfGtLvaqmk8rDkNow,7960012,5.49033215615,Other
4L2CK1jCAnPrNetyj1Sq8V639XmTMHcq9AEhLYo1hEov,7960013,5.49033215615,Other
FPpV7Y7dDYgXtMPz7CY1e8iWpRqDD95heT73bmCJko3U,7960014,5.49033215615,Other
BW2K9cdVyrLJpisjxwe1pt31VnvCwXxYL94Zq16uab1V,7960015,5.49033215615,Other
4ZV52qNgyNLVmWSyWFJ5ZhjZbdRuW27w5apunJmpYojt,7960016,5.490328401569999,Other
EED3HAcxvEMxgUWB6GDs1AUj4gcnV7b6m2bKEcy3J34k,7960017,5.4903254551659995,Other
DecKaKxZvraDGNyhbfP9q4LgCsNnTkq8cCMHQ3W4s74P,7960018,5.49030753,Other
2WrJTBCgBxSM3vWiQHQSSotugn1PiALcGRgaaz5uZ6E3,7960019,5.490306674019999,Other
Eda97MkkwtYFikFoeTjA2rA6dEd1JQn7a2m5VGS8vorU,7960020,5.4902999999999995,Other
EvSx8zrV9waeX9WRaSVNqe9JUiHL93XobWbis1BwQbaH,7960021,5.4902999999999995,Other
4bFe1Tj2gLFVsX5xc9zcDpyWCwQePoU7wjcY9X9qKRPz,7960022,5.4902999999999995,Other
GcGis3qeQSDGD2iPZ4RUXCpjXhBdTunjeDdF4YFMphM3,7960023,5.490298853632,Other
Bfy7Pbv3amL62SSJ5bKEi9n2VLSCnmUBFNdQzPKRUvxQ,7960024,5.490295344850001,Other
2T2xZyC5rBSkQoF855YvpZkAxuCdmYvE3kBf5ZhK9dRp,7960025,5.49029373236,Other
8TJQatUzqeLVetcAizbNTKaQYokjHrjrGj8YG6a6esYW,7960026,5.49029373236,Other
91XLNj76RBGX8WFgTCrs4G3xGjPCiHt1bM4csKRt6p7C,7960027,5.49029373236,Other
HA4UVWTHLekcRpWnRcJX1H64AQvQ7wiSVfvdsdukn3uH,7960028,5.49029373236,Other
86VpJKY1j6TBMj3wNX93Qh4VxxA52DCyQjB5SRumK6CW,7960029,5.49029373236,Other
3abaHP5ufYpwJJJ18uzGxWSPXpnc1WjMeHfgdrzz9ovg,7960030,5.49029373236,Other
ESmVveUkcJTUfrjLA4MDoou9Jn9gooSqeyCvhqEZHmL2,7960031,5.49029373236,Other
2odjW3wC9ExcUBRw2sunBfziZ7Qy8UQ4BAVK4prBqaKA,7960032,5.49029373236,Other
7T7RCHswpwxuBnefqyhoW15gzWbRQ3J7kY4MxfHZ8Dth,7960033,5.49029373236,Other
HjQ3NEKLhz6xUkgicNEtUnfjAPqZMyTvTrLHeL8jivWL,7960034,5.49029373236,Other
BvbFkFEGvWev8MSXWsAhtFY9G6Ak8G42pp5cqQAx69by,7960035,5.49029373236,Other
