signer,volume,volume_category
G85gzZMkL7VQDh1aU9gAe8UjoUWHvhGYXktgahGMraFF,220536244803,>$10M
2gc5XxT4WU7drqBJB2CgjaZBVBsCCdYgFDkmK9QesAGy,218927461595,>$10M
BUYew1aaPDEWo3yM7UADuA4VDm7r32K3y9zv1RDJTQrV,218205849258,>$10M
8GikxhgjEhRHnzniHZW5jMR5Mc51wqdC4hpgmsYQjJc3,215223041390,>$10M
5WwrdiXQtFSSRNwhM4EjPq47Sq5sUqC2hQTxybundrNn,206278683252,>$10M
BEm4gnEby5VYdnwQkj5uVwuWt3kZXbvCfs9YYEZCZxab,206221915187,>$10M
9AxqLSs8tTYatHvaCs86CJp5bgHUQkriQZRL1FyBAdir,200000000098,>$10M
6DU6BBnZZNC5rTZyhct9Nohh4GvH3K3CTrrjpHjnkvtJ,199800000319,>$10M
6aVVaSCPeTtr8iBpiA2VNkyKRDyZk7fnzLzLrRbBk1a6,198630459727,>$10M
FQs5JUjv8hqNWusGCUjoqJ3Q685v3MNw7UYMJDQxvcur,193803081601,>$10M
5jVAGDtnSuzh3PtbdeKqX9btz2yWUSqEA49ry6jyLAk9,188800818237,>$10M
23u3VFnC1hvkCESheqe7CT36enZfehFWv94UqNjUrZnn,186311757739,>$10M
AJEMSaRj8iW2u5Z9aYzT2wHjpGZW1bfcpXFAfe4u1kMZ,185361018330,>$10M
CFzapTjA6zuw4mgYYVuhDQfXGHfnH3i7XDbFwwP3Zygr,185249061016,>$10M
GtDfaKAHkc2wSJE2kEREhzHAn16iTEbhAFJ7XbhaSQNy,183301830959,>$10M
2MCgagwikWjDm6XY21cX9WUH37DidMu7gnyvmgCaG9Py,181121464882,>$10M
7hMwrCyX6okcJT31A1Nc4QZ25SBouFa7mKwZcrRcyjcc,180815791261,>$10M
CgVCEk9L1SJUavJUCbwmARimLeqg7hBwWvsa1P4rTuWA,176803897065,>$10M
7ahcE5kjJDDrmrfiLnZuvfev3VbSdTMnqzpZUZwhryAd,175120947590,>$10M
HS2ZB1GewcEMcEQ1EJy9MbhP7AtXhwMdB5FsrDDzsYK4,169151369760,>$10M
4Dx4q15mrdf4TSUH2VyunWComc2UxEzdDeccTRi4L1xh,167130881763,>$10M
Fbfvxw1q2BogAp5bGUy9PbkTK5vMXH5y1CCpUpvGLQU1,166667377146,>$10M
3P6vsShH15Y68es6SgL6GcYwmGTEKyBgeRkP9sjEqmjN,166548621263,>$10M
7trigPPBiHdNEFzJx938HsE84YQ2kVz6uPGbhPRGJ2hD,162897706351,>$10M
E8JCkPUvnrr4i8E8QSRrAtCbGoUK41rGPvjC22c8FhUj,159442821122,>$10M
64eLQRzFEY4c8VpVa29c57MXsJhbo6AASp4JTy6e9Wow,154896036385,>$10M
5VNLtgyxx5Qi4Rw8HPwTazUhwANrF3Mtt2ddiFQAAf4J,153865376465,>$10M
BZi3qzcbeHrdyANsXtb1cEhWSTZn1GPWJL542XZjxLzk,147530819049,>$10M
6UEyFcU5WKDHRfaefqgmpcpyGbXqYLehAsxpvgm2uAGH,146040308884,>$10M
3Rc8AwZfdufPf3LHwd32u5tj7Z67MYBJjR3rKroXM89E,144609481720,>$10M
6dk3t2zMm5op9vdjCwtmaweX4Lczd4yx6rdu6CCooFik,142000499391,>$10M
EFHxPbRhLUfjjPbVQXmdDbVXaU7TsLFdRMMNzSqFQ4xX,132594169521,>$10M
HAWo7zJgcn8BhYKwQTsD9aPiuT44a27y7wV8y6Rqwhwp,127756951816,>$10M
kY9Co1rfYPpcMMLeTrEWnno6RZrN11AoiwjNvCz7j7y,125925259603,>$10M
3breenWFw38EWJET38vAsU1rs8AyGyoKW4YUz3P4vSY7,124740687235,>$10M
3cZR7RqPM4mPv4K6afpqKdGfLW1W4VukifV7kUMrAaAc,123859400804,>$10M
n3YA2GxgUoQ7qMU4Pq9YiBtzj1gkuwCt7W5rAdzWCnU,121342543346,>$10M
3wauV1eR6c5w4mMiuz6c7D2odHN1sdzaokboC33tpe8n,118652682764,>$10M
5ivTFUb64utuCFUGjvwpXM9EPyUPzbqYitjyi4LJzXkr,118297477716,>$10M
5bzC5AeWXa3MBsqA3kAwSj4JbJVpanwateRHU2JGxdbk,117128943806,>$10M
2ATUXJQBBPrxiUkrpo9avX3kjV2PnFBAD6AYD9jc7gVw,115253168815,>$10M
8ikr5SUrrzAiuC4E87vWuBsHkjkrXXNY6634s54xSkdo,114682178237,>$10M
DJr6RfqsWbL6pv9kyd2Kqngvy9xFci1KWUiBZdTmX5d7,110422016414,>$10M
2kq3RvGZzCJtUWMKEGa9QtdAtY4LbCjapibdqNdKBfm5,110220177311,>$10M
J66YVM8cbo8CJkgmhmvojVza4ASgFTNBLVABejJ94Gcd,109817925063,>$10M
9eW3NK32HML26XKQGJnLZh3yqhSo1vDQwvwVok6HaxGU,109632243521,>$10M
BCWLUCmmn9za2m4dYXFUkw3QZCJYZfYRZoUcrUQnVXPG,109317312340,>$10M
14kduNe3LqbFPWhyzd5dZaRJGzUoJ6tuLt2S6Xf2bM2n,108373193918,>$10M
