signer,volume,swaps,transaction_count,volume_category
DeiF28zV2HX5tbWQEjuMqyNQEgyc3DmZgojStNsLrmtc,404.47343661903,2,undefined,Other
7gHSManY8TKiMtFt3LcjpRyW1wVC3BcrpEoDwdGEFojB,404.47309210000003,2,undefined,Other
5kdoXSLh3ECVULgZYNcNKM4gNENVJgSdwxBjfePCnZWJ,404.47292277688206,13,undefined,Other
zyJUdVSkf6sUh5R6Ct5PBgwqDez6hQrevYv7BjkMNXR,404.47251,1,undefined,Other
8bGm5yUhcd4zTtWKdpm1kzSmveeg1LrR81dMk6QgTvbs,404.472465083158,17,undefined,Other
FbBh3N7wUFHTfB2GAvoLt8ubJJY9SSdYu4oGgjgPzQKY,404.47245960744004,6,undefined,Other
CNvQN9nqy1RKBzvUL3Mt37JokGynPBHhG2UHAW52knum,404.47218681364683,83,undefined,Other
9zqHZpNGmr9tdpdLquUHSoUCCaWgquExnkhEYmWfkbA3,404.47161874673594,14,undefined,Other
Ex6NewECi9KcVCkckqx1yDMqynmzsapRBy7eHpejbkyV,404.470940323795,1,undefined,Other
BPVNN36aHfu9DGorwNs5TgvtjKRr1C8NY4NqBgySwkiQ,404.470854611175,2,undefined,Other
87CpfyeJ4wbuiNvV2YQcG7KSe48kV8MtvFpQAvdaJUG4,404.47044091965097,3,undefined,Other
7z39toQ6uDfDzorhPnjK5jvr5vTXKaXPfY1pQqDB1gL,404.4695155564712,5,undefined,Other
A6FMqs99r8AD3weJDEbsBGH1sRk6pVbkzu9gbA5iYwR8,404.46945868228,2,undefined,Other
14bKjSBEMKvA4RoNrk3MPsbjR6MddtbAo5yrFw24BgnU,404.46892924945,12,undefined,Other
FF7danx86puJBijFT86wJ5vDC55232cSjojJiD9V2RWj,404.46856966431017,3,undefined,Other
5kjGGxrHdvNGchk6XbqnuXaVjpCG4UrPsdGD4kpDndv7,404.4677647539095,2,undefined,Other
5Uw1FzAGoZG6iB3KZ9ku8qLqc4RmbQdVpAddteBHqpeY,404.46741350757,3,undefined,Other
5qLRjBiUoNHhvADwyNZUx5tHNLTnMpQEW2XyD2TuHe1p,404.46631232035196,7,undefined,Other
E5mskGi8FAExEMPJnr5qAGqD88kW6CQiabXcCfrUhm1Y,404.46629316450003,3,undefined,Other
Dtqc7qAhmrQAndnQGgjRuXWykPQa1uFm1xoeB1Ex1bcU,404.46617063046006,1,undefined,Other
3dMmNTYxtfp2rkEn4NZ3pQrdZPYkPj6uj2m5z2ga2G78,404.4655492689049,31,undefined,Other
ANpCUa8PkahwDaLezHLLVjveJT3bn5NaUHJBxLHtZ6Ca,404.46518771399997,1,undefined,Other
GQynDYfSrXavi5GjnBJ3yRwVXF5wZSa2xNdvv3xZiRzE,404.4651619397,4,undefined,Other
5eNQpHHDEMq9fY56erMWNu85HaPasP6nwNcNKi4JRmNy,404.464541376734,11,undefined,Other
DGJiP8n8qSPvhmbwEy35AFsi87YgcHr1ca1QVXjyvb3Q,404.4638768487052,3,undefined,Other
J87Ew1xEZCuZmrTr1ch12DsvnGGep4spZE1JtdeaKbmx,404.46367810592,9,undefined,Other
7BVGKK6v3EN8sb8K4RppSRvxU3DafLK7n9PoUP9jAvbN,404.463616750502,6,undefined,Other
Gbsabk6xnuanEyZ3UTMxPYyxWAFZEdjGBpf1ZmAxz28o,404.4627936932819,2,undefined,Other
6A5MxTb52zV6uZNgQAnM1QKAT7ZJgLQjbTzxv7h43Vmu,404.4625049840395,5,undefined,Other
EhpVUrb1DNPss5rk7nuUfha7gPNbsbBbnw9nEVKjYk9i,404.461354301616,1,undefined,Other
HDBm6aTzXrsgBnhA6LL5DmxjM8VaNfo3RhRpFA2k9xnk,404.46101780661,3,undefined,Other
FKW5NpRupbAVwRHmr9DB8sdsmojkT99ToJVoMee8jMFE,404.4608099488558,3,undefined,Other
CeYdz3MLmd2tn1aNR9Apxsg6177ycDxaMMRuoL5Cnsub,404.45949036213597,2,undefined,Other
EBUKqkiuiGQM5roFvN3HtThMMDz9RfVbrSyjEia8dyPb,404.45934190155,5,undefined,Other
5ReKu2xKbNM8CV7wMFqw4JzVyd7JeWpPmPcYNPfsn6Pt,404.45903468652006,2,undefined,Other
3toMTdrFDAHojJsELQnazQNGzaw3m3myimQmF4evsq7Y,404.45903153989,38,undefined,Other
4RFGiRFH4BABpMYpSLbypbE2jNPecNp4FHkb6r4htBJ1,404.45883839098,2,undefined,Other
GaQjN7NJBvuiw3MxGGqehm3KSCYkq3LoZGLxHrA4S6Ke,404.45876400526987,19,undefined,Other
5CNipa8D2LTHEsg48yX9do64SwqsJfkLZ5g3gLLca6g7,404.4578255478,2,undefined,Other
HfXT3VXSjM69BPn41vy6eE3eRA3kLCeHDmoiZxkULWnF,404.4569693966566,2,undefined,Other
Ama3d8V5RrfHbBjk1yDnjDR4JBwmkPFhYpEbiwJsBUpd,404.45629014173994,4,undefined,Other
CrEjUcFYzQPhBTuyTyjZWS7U44XrWzKmG8dxjvVnwx2F,404.45606463732,3,undefined,Other
ENmCSzoH6eHYByVwfJD8NMT8Dk9kygQE1X5sQU6TrWGf,404.455850889854,36,undefined,Other
AhNp5HYqkG2jxs7nyLfe2WQPBhcBT6eGghHAS32HxEVY,404.455822389984,2,undefined,Other
Fik98W5EKP2QrUMWqGKhDwe15Eix1f8eCZNM5tr8wWbB,404.455594267014,1,undefined,Other
HZkUCsBtjYRkkS9uvoRrLfPkJ8fsnEaJadnrErS8yDXy,404.45425594764,2,undefined,Other
