signer,volume,swaps,transaction_count,volume_category
FY4yiXoYvJ1hGU7sTtMQPYB1YDNyPxGmAAMBrgucP15m,624.18515468136,1,undefined,Other
EBrrCbmtk4SLS6sYzvziw26zmvrtjniZNGJv4WiA4J2s,624.1847723001,5,undefined,Other
6wDbSypvsuK7MWVGmPasKc3Yh7vobm1FzfFTLjm7jV7z,624.1847091026998,18,undefined,Other
EFCNQJgJ8TiU1zFTsZGBQNrSaoEAY5XfG1g911xkTZpv,624.1838660350141,14,undefined,Other
EAYijUq7kByouPVpeBLXqmJF5W1r8CTUvJoyobxeDtxe,624.1834144176,1,undefined,Other
AyVq9rZM7VmYxW4rDC849eNnQ25WFYc7upYFxbtmTBqp,624.1827204359785,4,undefined,Other
D8RDrzwnTa9tvXaTxDJgDtqcyhbVHYzVXk2AMYb9bbYt,624.18243695085,3,undefined,Other
3JS18GrUyhqke2KVjmfvdUdRAum9fF5q751MchiaDkdA,624.18213378866,9,undefined,Other
E7EVh8ct2V1A8xuoPMyGyzAb2vRjScig17LhC6zSZHcf,624.1817608206841,12,undefined,Other
2cAYjZr2HpxNw5dPEqL9jkAwtvsMs3DzLAEHWmBamGLJ,624.1814850614,3,undefined,Other
DiBvwtJ5AXxTakwz6iUidKMGeuntKdmg3BXpMjqURG71,624.181440520539,18,undefined,Other
3KbiQBFXPEiGPjnFpG7Deb2BD5gKrNigPJyzXugKeQpg,624.18019404832,1,undefined,Other
2zyTWkQ8J9CCjJjxXzBLfRopiu8EnmMzpaRGxoF35iGW,624.1800000000001,2,undefined,Other
Cg9emwk68XcY7kGAHLjL4M9g2nijcFP24Z4sSNw6eMvG,624.1796819591449,14,undefined,Other
3Ep6mE5sPjJsyAKL1KyBXmYX3iptgHPtC444EBgqvCnt,624.179276365516,122,undefined,Other
42yNfQQBkUq81tdDiSfKpgpZ3iWayJbdjiN58nyLr19z,624.1792157433721,2,undefined,Other
2evwCQ6gPjLQTEyT5Zuv1HYyVX9SFZz6nnduoBUTkYrn,624.1789088943559,5,undefined,Other
B8XETzhszTnHJiMEvkNF7opM36VKo5QCKtayTQYEJVqJ,624.1785170120901,4,undefined,Other
DPXSxMYcmcdBFaPZPxn5tp7Sj7yn3GApw721wLfSYp43,624.1782653617502,3,undefined,Other
7ZZDpnasN7fC1h895ZmxmVyy361evikLe2JF8KGySMSj,624.17721433725,2,undefined,Other
HZuU7aMgKdNARPHTXbj74kYsw2SWLK9ZZb79DYFqkPq6,624.1771950647898,12,undefined,Other
8H7zsqmhXbA5g4qojdV8xdgFg3zHrXUpfvzHJc7TbKLx,624.1771454433328,4,undefined,Other
EZvWqEwX7zKEGKFPLFb8VLr9835QNFq6S5f11VoEsSY9,624.1770865369199,3,undefined,Other
6sBtU7kABUcai7qnaWYcERLWRc1MChjkxUqk5tch9R8s,624.17658639765,5,undefined,Other
CegR1EMxjQgSjxFfYsrmVqaW6cHn3ELyjxGdXXBXNZJk,624.1753365095309,23,undefined,Other
74ikQD7n8a2Eo51X71bfBdzNBjcUqWR2RhKU2ZGPpXi2,624.174894040746,9,undefined,Other
D6uL6Tghfrft7Mcc9Pft4vxXtkhCoz1GeLbzja3Ytnd3,624.1748717851472,11,undefined,Other
3HYGGXBHhFbAc2h1DPNEhCGaM6UwPFAsaYqeCcSzccAg,624.173738145575,13,undefined,Other
E9x4ig7gCYrvPyG2vyXZCWoifWgKEhsKKUDnpvkgw3Km,624.17361683328,3,undefined,Other
4ACp6xkZdWnB2DpBzQopTtEdSLTu12x1Wg3DucAaF9Vj,624.1735333161598,15,undefined,Other
CEHRpBg8RuQ1Ku2zVvVfe9xcS8jycTNEgKwQDcEpH7oz,624.1735215665375,5,undefined,Other
EcfrZeqA8WnmLHBJzfUJEoddNAcoDGFaM6RjFSPpH8Lv,624.173,2,undefined,Other
2bJLfPjVt1Nx3tRznqUpNcj1C6B9oXhJWQsQa75Ud3G9,624.172863482016,6,undefined,Other
izpdWRLMvimgeBLijsGaxpsaVxciyxNx6wcxfdTdPPu,624.1727482445,6,undefined,Other
3TUW58e3ip3njae1Yd3sWY5ReAA9AKCPtcpRDvME7pys,624.172531231782,5,undefined,Other
5WWdqubNaRGLeKQoM9U55sAvZcb45kMmiDkz8kAcYt68,624.17227123356,2,undefined,Other
4hPr19Eq3LUegZnmUrNfrNqXzMM5xn6k5QZfHxGqxcno,624.1720570983513,12,undefined,Other
3kTMha2sKqULpApHSeJyBBwZykekcQ67VGFRezGjP5sN,624.17156644189,4,undefined,Other
4DB1XYCp2ocUDG9tAAWcD7G27soPEviFS8ifWaUWF59e,624.171559520378,24,undefined,Other
BAqRXZdMKBWaNBsuCG34ztScePja1ZYsgWnr7h53oYp2,624.1711064711819,2,undefined,Other
Bp3tdT7KzFVW8rZaF86NMo2ZwdmkjuY5Y5GL8B9qqUXu,624.17052564146,3,undefined,Other
7yFYtxFBHgKVJyd9zd9BZ58DUes2aboZGG5mNmZMBhe7,624.169416553244,13,undefined,Other
2ad3YKXS6cKqnhGSgbfh5b5gJ1Foj4D4to8Jm8SNqzq6,624.1693735231562,38,undefined,Other
GXUxZdeW1oh357GnyEioVPS27PqdRdsakXbkPL4PfKkd,624.1688088249538,31,undefined,Other
5Rh6ohCM4wPeyd4oJmUJvfVAMR2mL5r5tp8v1kXrNvCU,624.168743501348,5,undefined,Other
HKhQkd7WgpUVUSSY8mfaCQxVDMz4DL3yK2fBFzy11QEk,624.1687220388521,36,undefined,Other
Fa3dptVbyFbyXjxjanCvTUNVhi8sAzhf3Q6fFFtDmtdR,624.1678374205685,18,undefined,Other
AfC24TjFBPtvoA34FXTqZQiVKc5ucCs2aAx6zqvpkMDa,624.1669115882551,2,undefined,Other
9Qow7AGJiQXyX1GP2em6FEahqBBocazeNW2pn5aCEnL8,624.1659771988604,4,undefined,Other
C3DAH6GkCVyvA7CB8jwvjtp1qPh48dB1RAMAhjCR5LdM,624.165556047132,3,undefined,Other
8b3dzePYLxk9KSjtoZ66AauMX2Ejcw7VS7y8uqBT93zF,624.1649002889,3,undefined,Other
ABdBBpiM7aMCCqTVmSZtn7B2XzpWkdWRySE2JW6HEgCd,624.164248823671,60,undefined,Other
9EEHPNXVNL5wevqkFVinZnPZDwbnnfmZywenpQQaHj7X,624.1639766915,6,undefined,Other
M1NSvP7qrihfpSEyarJgbJhGGJYnZWpEb8jMPATfHxX,624.16186550698,5,undefined,Other
CkxbLHh5ZGpz9JQ1Dbk8Q869RNrifP4hFu2mKKQbCw3o,624.161028120144,4,undefined,Other
FJa8XNCdaiw1iknjqsmFS7eZ9kLSHUY66NvzP3Zkobj5,624.16055218636,72,undefined,Other
Dr8XPG393m67UphPXV5mFGKoxGLu84baRaAGMJt1bzab,624.1590022119399,3,undefined,Other
45U91Cb8ngQ5Tw5bzNQBuE3Z7t47xrS2ZGKdNNb5QB3V,624.1588292316336,5,undefined,Other
HNuFj5YcRqqgmRp242yDRATuWPfq2ZZjYDFkUnBt6zwn,624.157732903827,10,undefined,Other
DJrnbv61YDK7xnXotmkfV63tNCyXrqd4stjYyEfdYPKE,624.1575703563201,3,undefined,Other
ENn2WZcXioGypZgfBdhtuJ3Yh1x3PTkD8amhCYrsNm1R,624.15597354955,2,undefined,Other
3ZFyH7axTsZYEkLNnwMxXWaJp118hvAGCyGpSX6JtcqJ,624.15478167902,4,undefined,Other
4yc1hyZXbpmom4b2A2qXACzbgiuwv58qwPjWHQbtSc7h,624.15454007211,16,undefined,Other
JCUraAH5DPu8FsuLqBVMbXhE65jVxyD91YUqrUdLJRnH,624.154061971394,5,undefined,Other
2frkyUKCB1J7HmS97c7qtCSEyPTXM6dLWjS2CyRvWVoq,624.153958579345,2,undefined,Other
8t6jgQx8eQEzxv5W2dG2n1vEDUtkxi7CvoarqoU9LA27,624.153650430517,4,undefined,Other
8uUwbZm1goNx1Uqre7fA1vZBzuCLgLgKKEVA64NgsJkT,624.1528816386001,1,undefined,Other
okiD1bugAGqxSoWfZ8XhaLoaZtvuJissJXTXUQqevAR,624.1516365444099,6,undefined,Other
2nQkDaR9iTih9aCMSsdesQ6gR3mPnP3UAwn8TKWJgDAk,624.15162336,3,undefined,Other
CjJRu4TTCe3dLnBVxCxxT4r7Qw5PVXRJcB5yyWsbKDPJ,624.1511575291601,6,undefined,Other
HFofMw6f2WDMy8Y4dV4waki4faT1LrePtgfQANmU9LoB,624.1503721256772,371,undefined,Other
CTJh7t7FCbZWQKFw8CpU43igwJERLjQiQhmgdewftdQP,624.1501885511867,10,undefined,Other
HTk9QeYrDZvg5W1UebSyGCN8w58eXL2pqJpHc2bUTyck,624.1495561356099,19,undefined,Other
HUtU8RtjVqwNRPCtUavcQSAoxb7uE8TRFXthawLVtWKv,624.1492559854029,4,undefined,Other
Dh3GpYZX7EaXsEbhBqi4FQwYCityAsaqx8wyguVRftbs,624.1490747615761,16,undefined,Other
CcJLRk1payYDJKavQUD6yRw1spEMFoJTwxx7cW1VPaWa,624.1490159139801,10,undefined,Other
EGz1CNTAydWwb49rzbYoFr2zseAmeR3oGMLYGM7DrfLU,624.1484753549418,15,undefined,Other
9XdPPLBkgGmnmREd33mEBPPXZfLJeyE4QZ7Egxzq6EqR,624.14845857728,6,undefined,Other
CeknCNsY3Xapzs9ommwTgavryx4nMNzXXcmLVNB1Pqo,624.1481938292801,10,undefined,Other
ECC7yiF2nK3qNgWuUsmAPF6E3F9JENcruoS2HkmBeQvm,624.1469560520701,213,undefined,Other
8KSRh9dYbHMfBb8DCyJuL1MCduApPk8TVGXQYrAw1zdR,624.1464260594267,106,undefined,Other
6Yg5CicJAbbjpnQ2v8RzsqKAh9suNRggtf9tNHRw2hAA,624.1461058352589,6,undefined,Other
z1xfW1iTdv7LX2tmQWMVVrLAcTUcADofZCmRg7MNYoa,624.146018030079,8,undefined,Other
5qcNAeUEvDhvCVUh7wvcJ5AGc2BsYmVWq6WYz4aXBy5r,624.1454181512263,4,undefined,Other
aBJXQvutnr65oLNCdGGUPvaqJkgdy78RjAWBbzYhm2Q,624.14465540233,1,undefined,Other
5FFbtwWMdFNCC5MYZZ5e1n971UcCfd54PcpmDDUgbjFD,624.144191640276,1,undefined,Other
9cqaivCvjf4ueX71qYbaeuV6QwU4RDyh9VPQU6VAGSLo,624.14286337816,3,undefined,Other
4vmnP7d3TCPafzDdA2fNcXWcNpwWKMLgEqBtyg55dRah,624.1428613708832,23,undefined,Other
9AnnbJM9TWoFFDDoa5WuidEvMqwAByLGW1RLERot4hLp,624.141285779194,11,undefined,Other
GM6aGbD7WtorKBcEPtGyAy4KafmTihkPnFc3kxHTrKWh,624.14077571103,3,undefined,Other
2CaZofThS1xTWzgPqJXkjNgDWTSxi1KDGPmkpEeLVDvK,624.13992188927,15,undefined,Other
7aqeSsKonWoZKLV1bkhCyzG7WftsaX4ygBCbhmjzqDE8,624.13970960572,8,undefined,Other
4UqXsJ87FykPz5QJRujJai8hhRsGPv9Bw4FRJAEFQgPa,624.1392367622101,1,undefined,Other
8cmZcqYVuSqo97eDHAwwLx3VreXP6vJb3k1UUsVvAWuQ,624.13923,2,undefined,Other
93XRzSd2V3PcKCb68bJNxTaynbUrySUjeFDkivrUxt4R,624.1385909453084,6,undefined,Other
C2WhosYbYyfJptVvgT1eehb1oqhSzHAQ5XrdTyK8joup,624.1384435488,3,undefined,Other
BhqJ6KdXLQMy9Mz1XzXQm9PLYk7W9ntpvGFZZhEWxRMs,624.138004012137,2,undefined,Other
Bsj5MWo6mADozwQtoJ7w41AN1XEtxHjnYyrJaLnKSutm,624.137469411132,2,undefined,Other
GfEHEgwLFo8GW2xwKFp6KPHc1hMCwv96EiiPWjzGK4EU,624.137321028236,2,undefined,Other
7wqD5zMjabueAaHpG59VTdHU3Wxbqr1SzmFYLHCnb48A,624.1366312,5,undefined,Other
FGahnWtKKaGWbBY4SwHsbmZfB8wio8zASNqjFaZTxVXW,624.1362081811201,1,undefined,Other
8ZMgSAwwnvVKHmDkEUHkz4YJt56KayKhVyq6vQiEi2dT,624.1354397949278,2,undefined,Other
2Si4iWhs3jo3CMfC6ptgiUqu6Pnhz2RNQ64td7kH8GLV,624.1351329279499,12,undefined,Other
5m5qaNRnvz11kwHQQFkah1bee7kneCzd8zmQZQjmNEQE,624.13343453578,3,undefined,Other
AkA1DrHxF5Q7EjMUcQ19rAmYtbXXprpVBBcANA3UMVqD,624.13249634592,3,undefined,Other
HzCgdPAE67yV9kS1QPF5TwkawC9dwgNQagnR6J3JM5Qm,624.131411567736,1,undefined,Other
BhisMxZT9Qt2BAiiJDLWc6UUmrhYxsCkxFgF5faqjC21,624.129537795,1,undefined,Other
6CdvgvaW3rdFFYy6PvjvR2zwHRoxgQRDxaznhV1r1387,624.1292629140839,13,undefined,Other
H7bZKitiD39jUFvdETLVir4sjCbfEdpnB3ptm2nmFKaj,624.1292226079821,3,undefined,Other
FSeC6ihZAWxiygoW9LLisr8oW55CMuuQyKJm7tRarwA6,624.1282565819363,5,undefined,Other
6wMUHBALTpvArAWVbKHC5MT6RBB1vTW5jEXnjmcW7oi,624.128227024564,2,undefined,Other
BpPnqGfyRuLJVyPd1zg76Xvg1MkBuoT7i1hMRLZSgGtD,624.1278713615601,3,undefined,Other
HUzxrkMhj8burytbD2ZbJjAizQ84h2ZpyoMjLCzH5WuK,624.12742520284,4,undefined,Other
EhwTKe9pNyxF5aoTu7DnY69xKxcuC3cmbWV6AhL34vvo,624.1272129011701,1,undefined,Other
BQe1ptCeabtXhGoG82RpWL2ZBdo63CSA2ioVXWcu36i3,624.1267232221401,1,undefined,Other
87cRKYProw7WvgkoKuBH9X4irvJFBs8ikrYVfXAHnesv,624.1251139406199,3,undefined,Other
Fe8Wgyjw3dkULV4JtJsED3qAW8shMMY5y8LdJwPHcatn,624.12388899966,5,undefined,Other
236Ye2PQVi4HUD328JxBD6JfXu8oqKRwC21YMLTharDj,624.1238807653799,9,undefined,Other
23ZR7MvydjUtj8Jo92ArqUVSfvtXsDsdGHFqKiJbKp73,624.122741874352,2,undefined,Other
Dv7D6W5eCoQVL7U9ZG5yY3HjR9cjm3P1ksmrSq9P18Ut,624.1222346819809,13,undefined,Other
3iuwdPoLyLM7JcKowQJsRcyXbAkFU2hUjYTy3aPD8Qmk,624.11929978868,3,undefined,Other
Hw8yimgxjgga6BwEq3aJCpTezZcw3Szy9QBkRTrtAXwv,624.11864878972,1,undefined,Other
FqKheCsZf156rYMyoUj1PhQ3XBP72WgPb9uU2Stv8Tek,624.1172560476779,78,undefined,Other
7QFyPjuQgK3ZEyA1WFX8UrmdxwSJL83Zeyife3ffaj71,624.1172187198979,3,undefined,Other
9DPQWLiN7ezDiFyXUBgqnm7iPV32CAbaZxdcgxeHD4CQ,624.116798532934,9,undefined,Other
65x1pRyWcHerCbWYWAwThTwfCmh5x6jkqEJmfi4oDbtj,624.11644391941,9,undefined,Other
BVSpwwRhkC1omFWAFrQmVLm8L1wa4Vf3b88bUnnSbBms,624.116065038857,4,undefined,Other
EBdbjD5Wgm41Y6VGgikXE45UTPsKAUBWF6kh8cpR4ocT,624.11479778218,1,undefined,Other
7mibq2CLWGvqNSvBKg7HQpSbeWxehDJH8zvkThTCkkwA,624.11402173674,1,undefined,Other
GMZmbxgtMdWUuRAbGp6yAgbvmgwg8bXSZCNbytqsQZ2,624.1129999999999,1,undefined,Other
