signer,volume,swaps,transaction_count,volume_category
6bLJbCGD2kBcRaiHoghgRzd9Q1nZuHjTdRqQaoTVPAhf,0.001441,1,undefined,Other
6binWi6DLxdbjymUktnochu7TfmTM5SE5nx7KwgQv1ei,0.001441,1,undefined,Other
6cFwREc7nL4uEFTdBo64DL9WE2JZ8Ba6c2PtpSxJ7drB,0.001441,1,undefined,Other
6cTbY2527rQo8e2dtShyDLnnK1Zrfe9imcf9d8k6LrW3,0.001441,1,undefined,Other
6ciDnnxX9MpArnZaPW6BsRfhcNymuYqGo4p4Jffv6wwM,0.001441,1,undefined,Other
6cwcu1Fb7aakusW9RGmSHQgchi5495hJR15E4jgGRi85,0.001441,1,undefined,Other
6d4js8ySxpATpKbpu8nKqRrE4ihzwHzTsCWCYPJ1nkmE,0.001441,1,undefined,Other
6d7Zdd8Tr3pHPi7Vq5tMsfFyDAF15i8PmFjuoKUj95ZK,0.001441,1,undefined,Other
6dJ4eXxzABUNuNm6BqpD8Bm9oBhrhjRZfJ3DmLZBvVV9,0.001441,1,undefined,Other
6dMHuZvzF3MUGorhpTdg58sgN91pJhBCr8zrPESWdcXb,0.001441,1,undefined,Other
6dazUkZiaWGjxUCAbRviAhfkhNgtzF24WnUET1kMCSoM,0.001441,1,undefined,Other
6djKkQSvVRA489L9hUXGBHNMg14biCGSsJFKym2TGEf6,0.001441,1,undefined,Other
6dn6Hr6qPz4VPZAT4jQFyr3PX6FfhBfFRC9pgxfexcaJ,0.001441,1,undefined,Other
6eMSvq9XbmsFUy6dYcrVyknpCWkHpUmESvVkJWiMGNt1,0.001441,1,undefined,Other
6eXK75ujEUs6bEa39WWgEMhoyAGsbXiLkNGzAQAVPe2J,0.001441,1,undefined,Other
6ee5zLuTqpBoYh74nqmapcps8ioeGQbkasP8d5pt11pc,0.001441,1,undefined,Other
6f59vKwfWhcdgCNH4NpiA69i1HfsDuddQsT46YpNd7Sf,0.001441,1,undefined,Other
6fD5rVaVqcwiYhNPEZ8xD9K1xSHQZ5N58WGWyz1QxToS,0.001441,1,undefined,Other
6fnAwvy6tywkurVhj5JjbAjZa7q6APoQw6wdnAZLmQTw,0.001441,1,undefined,Other
6fteKohjBQWaTihz6LKi9V4THyuPp5S5b7BriHA7GYDD,0.001441,1,undefined,Other
6gDo9jo3KTSDSNN2Zb4qTa2bZrsjXo7EdAk791Ctvc1D,0.001441,1,undefined,Other
6gNcd64c5oBVWPMbuYZCnUFnEw63JUws91G6uxfBgCiL,0.001441,1,undefined,Other
6gd25fhb9o7VTyZGwBi9PTxzccGyf54siRjjdekkuv5h,0.001441,1,undefined,Other
6gyJTfCnC7fxh1MhSSiA47TEVQ45AXjNQnPKfUW2Kba7,0.001441,1,undefined,Other
6hEBTSzDQbTp947CHapttm3L3V9XGeqM5kfM3YjAFsKA,0.001441,1,undefined,Other
6hsh8ZKyc5qZ2FhA68jjBLQGEXCPkdRVYKYiBvSexD97,0.001441,1,undefined,Other
6i8Z2ncbeKcwd1eURR2Gahrtogi1AjZhhwnn1Qh5ax99,0.001441,1,undefined,Other
6jXx4EDs2aunLQSvJYCCEgVrSLEVvjFsAKxqkQHCRtFe,0.001441,1,undefined,Other
6jy3uKozSJQdf3FaErHX5WNXD74vX6D1gX2pHNKKbMSv,0.001441,1,undefined,Other
6k56LUytRy8FdL7R3c3FU3CpivfBvbqjSdxTLj5r45ws,0.001441,1,undefined,Other
6kpKhgRa6rtbxYHt1V4Wt9SNN6EHuBVXXHNZGvM4uQH1,0.001441,1,undefined,Other
6m2oBBCrrop1Gy78JwRFs5ZsWLMVzaPKd3myoKxRZDaU,0.001441,1,undefined,Other
6m8f2yvHLoDhKJri1RMYoxAkmFTGyatgSZ32oUuBcFxj,0.001441,1,undefined,Other
6mDjqgJPXXs5UDHXwQ77VuXDRvKCeEaNRtXbrvTxc24G,0.001441,1,undefined,Other
6mZaYAGES6pi39k2b7KCzMHME6UpuEWMwyc3HGu6WkGQ,0.001441,1,undefined,Other
6miBmeUmFNLb5bvuBRNUcNQD958eMKWu6nVBeFWoEFjx,0.001441,1,undefined,Other
6o1WxYLrFLcemLBjWPLXnsquVxAdQ6z2x5vyvxs2zyd7,0.001441,1,undefined,Other
6oBsmiYMy27KKuKBdntdqJPmyXKzrZCnXNdjWSuA9JBF,0.001441,1,undefined,Other
6oCaJrEh8ArUhEUT5hJw2mecMa8BuNNoAGVSQGkazzgc,0.001441,1,undefined,Other
6oGtMQ9Hab75HuASavKthFF8bgqEsxmWV9EnLpTFeTso,0.001441,1,undefined,Other
6oQvjUJhDakj53JmrXNi5xCTP9Gnnyurfcmrijfrd6x,0.001441,1,undefined,Other
6oZ6DLYWFMfPYetme23Tg4Y8SHF38fk9ViZ1328BUxQi,0.001441,1,undefined,Other
6ogxpsS9HamWVWagrCnxN6t8rVWoqacrZY8fSdbQ8BH,0.001441,1,undefined,Other
6onBCbuy9cGF18ESdwc42sNp6LtwLQGBtLUrhhVzHh3V,0.001441,1,undefined,Other
6p1i9UiF9Eronynuhw6B2c1MKGw88fJyt6tJ95j6EZ88,0.001441,1,undefined,Other
6p9hgGo59z1S1in7wZGSesVsCahFrPTDh8dBoNV746LL,0.001441,1,undefined,Other
6pFhRaUJkmMqBRso5FR29Qm3jwXWWiE4VXUsUnqFYtJP,0.001441,1,undefined,Other
6phevprguQm45WmHqaHNaNVweRFmMwcp4B8MNCzGHTer,0.001441,1,undefined,Other
6psdcP4jhBFDnMjk1zEzi7DF3UMDpukn7e1HEDpJybzp,0.001441,1,undefined,Other
6pxYNYQ1VmXhEEpivKDt8sb76ChWaBs2Eu8T1U3UqZvg,0.001441,1,undefined,Other
6qP8bMvNm7XdoZxyR5x2K8tg2LCT1oSDbMZ82MhqqCtE,0.001441,1,undefined,Other
6qcTwp8gHaFnz87rdNkM2KraBW5TmvpW6qLezFcvN5E2,0.001441,1,undefined,Other
6qmD99D9wnygJfZoj4oJE4AnuDtuUMHemATNFUMJRiZV,0.001441,1,undefined,Other
6qsWDuZDJfkvgAg8MCk6siwx7W6BwFCqMdfRFXnmqWzz,0.001441,1,undefined,Other
6qt8o6mjLAjw8ZM2CKgx9vFUWAeMK1D7BQMh6CoHpqod,0.001441,1,undefined,Other
6r4KorvmYQfxMCLjCEvPGFmkcPFUFbNyJKD2rv1f2CWJ,0.001441,1,undefined,Other
6rBUJRbMUKpoaAGNqazszQrxtdhX7V8pgPscYc6zPXGQ,0.001441,1,undefined,Other
6rPMPDDbmAB8uSscTtAQRve79fi2Av47vSb6eMZZM52e,0.001441,1,undefined,Other
6rRXCmzTfY7xX3h1iaZr2FWhNXUcNLNqoPMpwLGPBXDp,0.001441,1,undefined,Other
6rVgqBpbhopwmES16LG3C48fNU799yX2PGvXaBfvDN9y,0.001441,1,undefined,Other
6raFincridzZQhWvUeZSTN6SW7DPpQbut3HRB8JHuBDs,0.001441,1,undefined,Other
6rpMJpbNL3rgTPkfL6cBvh3kS8bJRiq1E5Lz2NwSPWoR,0.001441,1,undefined,Other
6sQsgUkbCJXtkstYFvr7Hu23rJbyFdy8nrfcpw5zVkFH,0.001441,1,undefined,Other
6sowH5HFueK2y3BC1Asi4b677gh1DEf6c2hegLnZD7JR,0.001441,1,undefined,Other
6suHKCQLhAhQkErPHaudjieP6i83HjcUfebEyi4rSi5,0.001441,1,undefined,Other
6svvxR4aJccr7pNN3qLq9w8reM15K6x4fSCTg68SpQbS,0.001441,1,undefined,Other
6t29tZTE2L63sJ1xTQxwS97q9oP2oVzGfiYJCjERWbLE,0.001441,1,undefined,Other
6tTQ3jpGUCM8Nn339Y94pcjGnGCZGaVkiVb3iuK52c3v,0.001441,1,undefined,Other
6tZDWGbZr13AsGx4r8cqSvi8xVzMhhWNqcPkDkudGrVa,0.001441,1,undefined,Other
6taG6jCihQwEBVQ7mvBKBeqswPbFd9FsGCgHT1MqX1X9,0.001441,1,undefined,Other
6tgAKuiurwVyX4PmmTi9kVkvZhmMiTo3UouKN4YnHzY2,0.001441,1,undefined,Other
6tqRx3nWxWAbkuF977BmJjb4TJZhtW6x6kzJkKP6mt5K,0.001441,1,undefined,Other
6tzxKVikxaadKT5qAAzo5R4ZeUDED6vgeYTYZvkMpAM5,0.001441,1,undefined,Other
6uGr436UFYFmN3SovpLa7iYzo2zVSBGg5gJJ2r7vfFHw,0.001441,1,undefined,Other
6uRhCwwStjEHL69x3Q9icCv7M9EbYQe57meA5tRMUBTH,0.001441,1,undefined,Other
6vKsptVT5Rhdw9RZA1V1og3tmFugQz9XV6gZj5t8zFDa,0.001441,1,undefined,Other
6vnHdDxDgizgSfoRSXq15Xg8eSkV7bwdjS33PXqeFWRg,0.001441,1,undefined,Other
6vsX7acwJ9AamR4iGoWSFwAvTMiTHz7faeQSGsU2B6z5,0.001441,1,undefined,Other
6w3uPQDvCrRepib6rzghq81rZFwdsesvT1SFKFbUgRdJ,0.001441,1,undefined,Other
6wEqXQA9rWRJEnPHf536kwitZCwJgXA5k48GxsqC5fAb,0.001441,1,undefined,Other
6weMsPVG6u2yRWrPkht7dKS3bdY4oyZ9dzMFxtYkGUwF,0.001441,1,undefined,Other
6wmFfdLXLMAoSvhfg4DQypkfdPaQodNPLBmpPWG8PXDo,0.001441,1,undefined,Other
6wmQRRWoer5ekCd71TxLpQBHJvUZS6yJyTZFdDn7nnJq,0.001441,1,undefined,Other
6wxQZdTDAVuvx7dMRybJehiY7cJk23hLMGqxkPRAN1Qw,0.001441,1,undefined,Other
6xFSz4ntuamY6XKdoEZPhvZE7TAejfsbNBUoemxAWX8v,0.001441,1,undefined,Other
6xGBM5qerTekXVpWy39EtWqmpXMNSoFr5JW2ocZpXgGq,0.001441,1,undefined,Other
6xd7EDSgMUvjEDvvfkjxgVKYZwjm8QVYKGKBSBL6ZBiE,0.001441,1,undefined,Other
6xmtaJRyHmeVbUjk89vRmVuyEc242t7r3uSyDCbCb6Ac,0.001441,1,undefined,Other
6xoorWCfbzccQ2CFXE1xWoj8CfWwq6yNcKvmJwF9gv6F,0.001441,1,undefined,Other
6xpUabjbJyAW4uZoijtk88WuJpCHJmrXVKBfsW58wyD6,0.001441,1,undefined,Other
6yDURfynci3quXVq8dQfwM65yh3ezKLpCzNingvKU2QC,0.001441,1,undefined,Other
6yGr8J5fRWpQWfRCxG6pgJw5YaXRfUPqaM8axfWNv8gE,0.001441,1,undefined,Other
6ywBEqPTxFnaMCbT1Cg9kWmr5ZDeuJ1sqDAj9x4BUNrG,0.001441,1,undefined,Other
6zYFLzzRVaBhKr6bPPFnzeygtCpPqveT99MmtSyYiJc8,0.001441,1,undefined,Other
6zhgtNXbBo5tUQvhDQ8vVhN68oXD56w4BiLTzTRXzhY4,0.001441,1,undefined,Other
6zvR29UrUyQVv1aRPbFSzxHABvuKEqSM6vuP8Ds87Fio,0.001441,1,undefined,Other
714MoTPeajHnCRSUae3pK4x6dajfKF81hZoWZNbyGKvC,0.001441,1,undefined,Other
714qqz5Vh3e2ZKKhuVs5b1YsnXcBjHiJq9iMW6mdRMn8,0.001441,1,undefined,Other
719qxMnUWDE9Gr799wvmhEFTyuokwsScggFSGUNijtKN,0.001441,1,undefined,Other
71L3uqCXbch4FZpGP1JM2qfVS2tJANFVNVu3iPJGEQDG,0.001441,1,undefined,Other
71wk8Dn5GXMoyW7eQ26Z4ssqyARCExith3wqSwfTv7nm,0.001441,1,undefined,Other
72MDMemqCvkaDBkEK5qhLadmrvq1nzpmrGhWygRqouCB,0.001441,1,undefined,Other
72V6zUPVaanJC3VcG7p627VY5rNRvGA2PcT4nang7wfi,0.001441,1,undefined,Other
72VfkgURosFi6qvkqWteTV2w1br51t4pLAxs7CaURNeQ,0.001441,1,undefined,Other
72sA8nuRB5iGuM7SRwPuwQsRmCsQvfmZRQhjgkMuoYbU,0.001441,1,undefined,Other
