signer,volume,swaps,transaction_count,volume_category
EzUc3Ntzf5XikF1aozvhAmEmKwoydRxd7JUyUbd1HQeB,207.9933233021456,2,undefined,Other
BoTFydowkcrqDDXJMNnd8smgNe3o4n5usKe1QGPgj7TR,207.99327109505498,7,undefined,Other
8pA5WCLkvV5w1iPVmcTJB9dKxjSjowety2DZ9bsqbebV,207.993052652712,1,undefined,Other
7NZbkdVHXVEUeDHAd3nNtVM4YAY37Dz1ekijnQqMwazk,207.99280013436,2,undefined,Other
4g6D78aXDL22LbfUJ6kBnnsZbLk7fQ8K9evHnQEU1R4d,207.99236903222598,3,undefined,Other
7wZVUu9uvCVwkXQRYTeCSg6txpsVtkWWHimBpm2NTZHp,207.99223358078297,7,undefined,Other
D47WAGDMRWNtWVuHw7Nk9Hh7z22gdUKWswrpCTidUuFD,207.99206755272002,1,undefined,Other
9zNgf8mVogamrDsQrT6veCCsiDPu26hdH1d78mYFmN1,207.99205324126,4,undefined,Other
6uQ8wC3a8XrWVuad7BmbmgqtKDfrFtNsGLKzwTBTQCNC,207.99200913504183,24,undefined,Other
ELcdBskyyWTNgXKFFU1n7A58j8Ma97DssGBs3eYZPucB,207.99179568563,3,undefined,Other
Goaz2Jpk3kZ2Hcn4PidAjwDrgyo2RX3NH2sX1UNXgqac,207.99176221065431,2,undefined,Other
99KjDTutHL4kBUuSorB32UMHSNvkHsJH2vNbudebVV4o,207.9916,3,undefined,Other
SdtJcUcnfJvjhR1D4RLQYZvi37eufHRC8dYhZoaKW5j,207.99142192729997,4,undefined,Other
4eJhhAPAPn9NoMLiPqHkgh8GBAT2w19ZbNCjMQJtAZei,207.99136762005185,14,undefined,Other
BDZAXGQ74k5T7X3wXRn5Mko8bNa26HQwVUqFkd854wZe,207.99078572938197,21,undefined,Other
Hn7fQwgcPcVespwWhaM3VuVw78mStBqB33Jan646tHru,207.99074415185797,11,undefined,Other
FEHtEDFKz3aLfGY5PSJhEEd8PhEasXyXXbmHqFHXkBh4,207.99056618355996,2,undefined,Other
4jR14UKeB17DEtQhDgFgHs1yNuMSvR8ZWGZKVLGphmzq,207.99048833425996,3,undefined,Other
9uAYehMJttRhCRsNzBkMQCM8ZaNCjBdTD4G1yR244Pvp,207.99046191968,11,undefined,Other
28mhsiQajDCfcQTf3V99DqE5LZainjG1bSfGR6fq4Gr7,207.989487906229,6,undefined,Other
9SiVwST8HK2QgYKLNiNQKoeabndUKbMZumEgQnfFLgiL,207.98946507493,2,undefined,Other
